0000000 1232 8c2a 3357 8118 4f5f d9e8 d4fe d4d5
0000670 0f07 ed6c 0c0b 05b6 7ef9 8489 998b 9cb6
0000680 2036 c693 cba7 3685 dbbb 98c6 ad5c 813b
0000690 9275 4a0e 8f3b ba6d e2af 5602 be83 b158
00006a0 5a07 8e6a 729e af3a 3566 38b8 a1da 09de
00006b0 12bb df1d 68f0 2235 853f 1e78 9397 5895
00006c0 1464 b38d d1fa f44d 18b0 de4f 282f 872c
00006d0 7ee4 57b5 bd0f 064a 5999 5042 a12a adea
00006e0 c607 4315 2e32 c1da ed8e 0ec0 ef28 5956
00006f0 37f0 ac80 d027 537c 3986 3168 90df 6661
0000700 7a44 1d3c 99f7 b15b e8b5 2a73 3116 57f9
0000710 0034 3ebc 9bb0 b98b ca0f fc33 071d 51e7
0000720 2bc1 2f97 67d9 e8e9 eb82 4d5b 1a38 be2a
0000730 66d0 94c5 9a16 0caa 3479 e431 d4cb 96c9
0000740 207a 3001 d6ab 3b9c 6aa5 614a 4cbc c25d
0000750 5a8b 5bd1 8e53 4a0e 10bf a326 aec3 85ed
0000760 56a0 5824 f3d9 906b ad34 786c 1c26 304a
0000770 1ed3 a372 08b1 3c1f eb2c a0bc d503 73ba
0000780 ba63 02c5 7438 f54e 84a7 994c 37ac 9a03
0000790 8491 1dce f27d 495c ed88 96ed 2921 fd0b
00007a0 92d2 9946 3bc8 8f1f e2dc 4994 d3a4 cc61
00007b0 0bec 977e de75 6760 8f54 7e81 945b 1591
00007c0 a540 f54d d645 c7b1 8cb4 98a2 77e4 f46c
00007d0 9570 abea af8c 9775 0d09 2af4 6860 2a92
00007e0 fc2e 0969 d9c5 fc4e b6bb 80b8 ef8d 2a4b
00007f0 8b39 fe49 738d a327 2d62 be82 6e40 7d64
0000800 49b5 afc4 218a ab40 1371 c2e4 3d0f 4f82
0000810 1379 1fb6 eedd 485c 2f4b dbab e774 af86
0000820 08ac 1c48 3cc1 6798 e196 beb4 a7fb 6a15
0000830 5647 c62a ae8b 579b 25b6 1380 316c db6e
0000840 0e94 21fc 9579 1aad 7029 2e15 4df8 6a52
0000850 b423 f3b2 014a ef0c fbcd ab71 ce12 a976
0000860 d288 9cdd da27 f113 ae71 0f36 68a4 65bc
0000870 4d4f 7876 04e9 a7f9 f1b4 857b 66a8 9235
0000880 d8ed 3497 cabf 8a6a 9388 510a 5bfc 17aa
0000890 6f22 197b 4da0 2d99 824c 65e9 4000 2645
00008a0 2f73 3fa3 c414 3ef8 07b5 00cd f25c e438
00008b0 ac4d 065d 6ff9 1dd0 040e 605d 4ede 7a51
00008c0 9f63 249b 8cbe e71f 3dd0 b212 7fd7 7509
00008d0 a952 95f7 d1e9 4427 1318 8237 1ca5 37c5
00008e0 674a 6ab4 832e 2cad da7f 51e0 b5f2 1049
00008f0 2f58 4b8b 043a 75b9 6c98 b181 2e7c da0d
0000900 0362 75ab 6d7c eca9 a4e2 fd7f b07f 0393
0000910 efee 94aa 916d 297a 8fac cf66 5928 ada4
0000920 97b7 1206 fb53 da80 f6d2 c0fd 5902 5212
0000930 962f fc59 785d aa35 01da 6e9e 141b 725d
0000940 b419 5293 f8b9 7172 28f8 4463 51b2 bad4
0000950 0e8e a47e 397d dfbf 211a e503 de09 50f1
0000960 84ad df65 f97c 849e 7a72 d9ea 47b2 a556
0000970 6802 8edb 3b13 45c5 f7ff b0ef 8742 cad7
0000980 dfc7 c3a2 7767 331f 2266 7efc b730 ded4
0000990 4aca ace9 f9c2 5f46 4c7b cbc0 d494 b4fe
00009a0 ad58 09d1 a2d4 0ae1 9312 5691 3d74 e2fe
00009b0 ce5a 751e 39d9 636f 8208 450c 4697 c5ec
00009c0 179d 1075 5988 9826 9104 a9bc cdcb 2620
00009d0 3b90 49bf e87f 1b68 278a b6f9 d3a0 0105
00009e0 da92 d5b9 6bf1 3b1c 91bc 6d90 85f7 c2bc
00009f0 5b83 be10 1168 c51e b028 d3c8 1ac2 75aa
0000a00 6164 5623 0373 4ac6 2c27 d0de 7439 cf87
0000a10 e8ae ec90 b01c a0c6 c6d8 1e7a 272d 367e
0000a20 4888 9c4a bf93 9680 b8c6 d1f6 03da 279b
0000a30 d345 aae1 5e51 8094 9aae c378 6757 f483
0000a40 899a d98b 1e87 a936 fe2d d6a2 0450 dd0c
0000a50 e1fd ce39 3cd1 42ed 1fd7 b493 0eca 1ee3
0000a60 7b4d 77c3 31b2 c129 3b3d 431e c711 5120
0000a70 e0cf 1081 afa4 4444 3bc5 343a 6008 11d9
0000a80 79ca d974 ba1d d62b 4e92 d688 33b7 de9a
0000a90 7f04 2f1f c79e f47d 972c dcdc fc9e f9c5
0000aa0 2acc c9a9 53d5 84d9 579f 42b0 2327 f968
0000ab0 99a6 c3b0 8b7b 9406 fc02 ae73 c473 07e7
0000ac0 7976 b31f 4a23 f1fa 50f8 778f e6be 90fd
0000ad0 0336 6d91 a0e8 4691 ddd9 f188 4c3d 3246
0000ae0 c710 1f8c bb62 60e8 4092 a85e 8fef 80ec
0000af0 407c 5e33 0439 21e3 f7ad 6faa e6ef cfb4
0000b00 0d00 333d e48f 48de 268e b974 7f52 fb50
0000b10 0ddd 199a 34f5 0898 044d c884 a096 67f7
0000b20 5777 ae35 be9e a547 e757 b04c 6aaf 1608
0000b30 c0f2 b6f1 c746 19f3 14a5 f3bf 67da 4539
0000b40 6ecd b7dc a7c8 026e c563 35f5 72e6 33ea
0000b50 dad6 8f7a 820f 8740 a723 965d 6827 4756
0000b60 880c b94e 0392 6cbc 0b6b 7944 64a5 33ca
0000b70 8aa4 ba6f 3191 9dfa 2113 889c 2416 6b0d
0000b80 111b 1454 9b1c 20f2 e91f ad20 b0a7 eaa2
0000b90 11b8 3347 1146 4c0f 7f0b 69cd 8afd b23f
0000ba0 f760 dac6 5117 8af2 09b7 12df 1369 438a
0000bb0 b67c 0cae f1c9 e01f 2b79 3515 1cba a9ae
0000bc0 ec02 b2ed 9625 4485 ebfe c52e 50a0 3a1e
0000bd0 bb16 bab2 2d40 a06e 427e 4a61 ddc9 f44f
0000be0 5ef0 0cb6 9ddd 2ab5 dfd2 3308 df73 551b
0000bf0 26c2 d0f6 f816 55ff 9f7c 9c2b 7fe8 4d87
0000c00 6dcd d2d4 2eba 1935 fb22 0d4c 19c2 77ff
0000c10 6df2 5eca 2c26 b4e1 0794 9313 9575 20c6
0000c20 4fd9 04a1 68de 85cb afd9 f333 f1e9 1734
0000c30 834b ec4c 9a6c 9d86 c9f7 0785 c74a 6823
0000c40 6aba 5133 def2 c274 797f 5e80 3382 f176
0000c50 181c 9512 d88b d6ac a796 def0 63bc c0a5
0000c60 486e df54 5a59 973b 93fa 529c ecda 5fe8
0000c70 9699 0d68 2b8d f05e 13e8 b662 4eeb b94d
0000c80 4d5d d00f c54a 5f2f 9e2c 48cf 1134 1503
0000c90 7ff1 80cd 99fa d90f 0964 8654 5922 b466
0000ca0 5dc8 9a3b 1190 3225 5db0 fe30 e840 b106
0000cb0 8e58 b613 baba 5fb9 9424 a5f0 61e9 bb3f
0000cc0 0c5e 182a a4a6 fc23 f894 7724 ada9 4f15
0000cd0 e040 535f f05e c8a8 ddef 24a5 087d 9564
0000ce0 f869 534b b377 ed0a 1a02 adf4 33b7 d72d
0000cf0 c04e 6560 7e9c 4598 63c3 d50d 25d0 f44c
0000d00 1d4a edf2 a11e 2987 7ca4 4a7d 400d 0acd
0000d10 bf84 197e c90d 4bcc 17d0 2fae b1a8 2f51
0000d20 2084 9307 3f97 0847 51e8 85bb 9424 5c65
0000d30 d5f2 063a ec57 a256 8ba0 6bd3 b5c0 a09e
0000d40 0f20 b7b5 5760 5cf7 507d 556f ee48 df1c
0000d50 c985 821e a577 175e 68b7 bec2 b5bf e44a
0000d60 60e3 6cca 2557 09fe ff9a 6574 0172 9a59
0000d70 fbad dfe2 9a61 3f89 c14c f8e6 03e4 5d25
0000d80 96fc dbd5 358e f0ea bdec f50c 521e f9a9
0000d90 b6e2 bafe 129a 3070 3050 37aa 03d2 ee87
0000da0 e4bf d346 c8b9 bd89 2273 059d ed6e c06c
0000db0 efc5 0952 a11c ada0 93bf 1d29 11fe e8fc
0000dc0 2be7 15c2 9678 c5a4 8bdb a85c 9119 9f67
0000dd0 10cd 9a5e 22eb 60c6 6fe4 c4b3 1bec 1837
0000de0 d0ec 475e 2c14 c394 3c2e 0a00 1f08 31e8
0000df0 ac69 63b1 b0e5 3844 4dbd e112 1196 ba43
0000e00 f2da e3dd 773e 4156 c709 27f4 d571 1cd7
0000e10 b537 5285 05cc cd50 0adb 887d a0ea 34d8
0000e20 3192 7b44 de3b ea29 83d5 bc25 2145 653d
0000e30 15fd 56b0 7bc1 a20d da4d f7e8 9ce2 70df
0000e40 d055 1b22 a775 5a2d 1c51 cb21 ec9e 8fc9
0000e50 5497 30dd 28b0 ee64 91d3 7070 5191 ae7c
0000e60 3c7f 44cd d0df 621b 647b df7b b6f0 e3f5
0000e70 4b53 3198 e64d d83d f019 f3be d65b 094f
0000e80 2d69 fce5 16e8 307f c2a9 b8b7 afc9 9997
0000e90 f2c2 36d1 bfd0 d924 e50b 4081 0470 dc08
0000ea0 b905 53f3 a0b0 8087 eb8b 010d 860b e6e7
0000eb0 9b65 8943 f7a2 3193 e32c be75 2ab9 e622
0000ec0 da41 2da4 302f 5278 9267 eb1c 50bb e228
0000ed0 4fb0 049c 58d6 27a8 8e57 ff1d 167a ab6d
0000ee0 483b a95a 5ae5 f8d4 15e3 4a67 431f ce6a
0000ef0 9e22 3cd6 faad 9bc5 46ad af92 3e50 2d56
0000f00 db48 da6c 1125 0e2e 846b d73e 7928 4b12
0000f10 5847 6d09 dc6f f0f6 058d 0213 319b b779
0000f20 766f 475e f871 5ce0 3f7d 619d a125 9c17
0000f30 2a52 5623 e84f 0ff8 fd40 1f9b 8cd7 8399
0000f40 25b3 bca3 87a5 9410 0283 557b d7cf 55b4
0000f50 943a 0a69 8315 e051 51b7 03a6 f32b c0ad
0000f60 3d5c a7d6 e938 6fa3 8b90 5e91 c6e2 80cd
0000f70 1dac a90e faa6 d6a5 f278 e265 dc64 4e77
0000f80 8837 1b25 d4ed c5fa 216e 60fa 2095 5f01
0000f90 4bf1 ae6f 8387 7758 fa3a eb08 9596 7c88
0000fa0 6209 e227 0959 866e 4525 d53f ff95 b9df
0000fb0 c56b b1f8 bcd5 6796 b394 0afa 9c8f eb04
0000fc0 1c83 ff1e 92e3 b992 f9c6 0a44 a4d0 14c7
0000fd0 73c7 6971 5107 94ea 34b5 4c20 c78e 2f15
0000fe0 5dad a2e1 3ae8 4ca2 28fa 5986 d018 8b75
0000ff0 f3f1 ef97 72cd 26c0 b3a3 f050 cfb0 608e
0001000 6f2e 647d 19b7 8569 a990 77df 8ea8 2e94
0001010 1a98 3a5c c506 6139 7c53 bcf2 3b58 0009
0001020 d547 ce6d 7be0 c23c 1d4d 11cf 8472 e108
0001030 c1eb befe f685 023b 6791 f186 3124 8967
0001040 da78 958c 7903 c8ac d070 c752 2038 9f2b
0001050 162a 127e 58ed f792 926a 8240 880c 42f1
0001060 b839 1d1b 9a03 27fa 3b4b c00a d559 27ff
0001070 c865 a42a bb73 9405 a9d6 5afb 5838 5659
0001080 74e8 eaf5 0594 aa30 e91f 7e29 959c 0c3c
0001090 cc2e 43d9 816f 925b 1111 0f92 c98a 1c71
00010a0 70be d9c3 8445 b349 6c6d 760a 0fc4 c92d
00010b0 89da b5eb 9f0a b2e9 3da7 1342 8a53 fa09
00010c0 f5ac 5c6f 5549 5cfc c848 d8dc a7a7 c9c5
00010d0 ef9a c555 0256 0590 2550 8faf eca8 61c7
00010e0 76ea 8778 b85b 55c0 6f56 16a9 be14 9868
00010f0 fe39 16d6 fae6 a796 3109 c58f 2629 ae46
0001100 a0e1 5610 c3e5 ccc5 8f24 b4c6 75db 07f8
0001110 f507 1ed7 5ca5 43eb f5f9 819e 2643 20e3
0001120 aa14 813f fd73 57bd f3e5 f816 15a3 65df
0001130 b105 7a9a 0fe1 ed0b 410f ea96 4e6b 0b6c
0001140 59d7 eb8f 94f1 e936 bc99 b842 15db b643
0001150 2aa2 a312 17a8 228d fdef c35d f741 1283
0001160 face 7e5c d52c 2603 6e58 3e05 66c6 b40b
0001170 a7b8 28f8 6f01 1a38 b97b 0385 9708 1438
0001180 b91c af27 37bf aff1 ccf5 501f 8229 f7a7
0001190 79c6 c308 b5f9 cdd4 6734 18cd b2d0 0e80
00011a0 ed70 8d2d e89c e47b 97d2 eb09 5910 6a19
00011b0 d4be e69d 9a73 bc23 556e 48f0 4982 28f8
00011c0 7af5 4218 1cfc b34a a057 9182 9ece 8146
00011d0 29b9 f3c0 5fe8 738a e025 8168 22cb a467
00011e0 5d47 e5b5 7961 3909 9095 8ca1 a2af 089d
00011f0 60bd 895f feb6 7f6e ee0f 7599 c773 52ab
0001200 86b4 574a 0c49 05c7 abda 91ae e577 cdff
0001210 c2d4 8b5d 61a0 ea3c 9e1a 2347 498e be93
0001220 7a37 dad2 2386 237d 92fd 202b f478 b25f
0001230 15ba dc00 9de6 48a6 c7db 2ddc f3da 0027
0001240 b7e4 5387 947f 117b 5a52 0460 e5e3 20b0
0001250 39ca e9ed 713a 45c9 781f af74 ed68 bb7b
0001260 1a9d 3e07 0ee0 7136 1ea0 c8f6 bd45 2f23
0001270 6ab3 c650 ed61 ba67 8bbf d343 e058 65e4
0001280 c1d2 f5c8 0836 c928 7293 c5de 7c78 f45e
0001290 2d05 ac7f 2a84 143e 011a dc63 f5af cfcd
00012a0 f63f 09a1 59a9 1f79 3919 21eb 519c 0fcc
00012b0 ce3c 92d0 81d0 6e52 2012 5be1 e25d 0521
00012c0 fec8 8a9b ff25 a08a c48f 7de5 9fb0 1df8
00012d0 77a8 6fc8 ac55 467c 194a 2ff1 88a3 4033
00012e0 5cef b164 1765 da4a a354 5997 e632 a34c
00012f0 6f3e 5738 8eff c664 7fd2 5a62 a764 bf69
0001300 2c2f 2c14 f3d5 12a8 615b 447c db64 6438
0001310 f148 ad3e b3e6 e4a7 5418 bbef 3980 da8c
0001320 d6e5 ec47 995d 8d07 9ffa 7ad9 d1b1 e38e
0001330 6661 79fd 29c1 4736 0520 6971 b3a5 d9b0
0001340 7a7d 2f0d 96c0 be49 4f22 20a3 3f69 7ffd
0001350 6395 f40f e83b 5b49 8b39 3f65 a2f7 06a3
0001360 c978 c138 f11d c1ba 1c0b 439a b9b2 f758
0001370 acf3 fb5b e3bf f65c 4734 c518 0b3d be4f
0001380 63aa ecc0 a39d 4b8d 6cd4 87ae 1463 e5bd
0001390 fddf 4567 0da3 f8b5 f43d 12a6 a294 fc9c
00013a0 eab1 0472 5374 6663 37a6 49a0 8a0d f22c
00013b0 d2c9 a134 be41 ff3e b58c 085f bb11 681a
00013c0 99a2 c4c4 f9b7 5381 2725 f3de 046e d21c
00013d0 7a06 d80c 3ee9 525e b21f b2bd 4bea 442c
00013e0 b6aa 0343 9e6d b4b5 6148 1c91 8ce7 3394
00013f0 5f3b 2612 3fa7 278c dc1d 7c84 aa53 5949
0001400 ff39 cd64 fc45 907a 5188 1e98 de32 67d7
0001410 3725 1309 8fad b8ef 68c9 aefd 9309 977d
0001420 1db8 a35a 2041 f9d6 d0c2 f8b1 9d60 8504
0001430 9d65 a2b2 d05e 64ff e886 5ad2 80d5 2230
0001440 f8a1 5b95 2d53 8269 7698 1a68 68af 5182
0001450 2eec a9b3 fe9f 8693 2b7f 65a9 0518 6bb7
0001460 6da2 2a64 b069 e95a 965a c963 a49b 6df2
0001470 bf1e ff33 eb3e 5be7 42f4 1f7f 9c4d e91d
0001480 2254 b2f8 606d 4cc5 4b51 4d1b c838 31c1
0001490 f35c 4fc7 1722 1d14 a101 133a fcbe 102b
00014a0 5f76 3df8 b484 1aee fb1c 0f07 b1d2 b1bd
00014b0 c510 3a1f 482e b19f b500 2212 1e39 b443
00014c0 c819 cef2 df93 db31 a922 9b86 d13a 4bdc
00014d0 f4af 4a2a 9f02 dbae 3806 50a8 f28b 9053
00014e0 6fd2 5e77 4f23 4b85 2fbe ffb4 bfa3 c220
00014f0 5108 ff26 5930 d8b0 da0d a6eb fc0d 0f0e
0001500 5831 778c afdf 54a7 c85c 5057 5f54 e3b7
0001510 b842 c13e 029d dc7e 68df 1050 ebd3 fba9
0001520 3e0b 6b72 559a d213 60fe 4a0a b056 1df9
0001530 df9c 50a8 bafc 46e7 ea83 6fd3 f43c 07fd
0001540 4f2d 9a21 515c c6ac 2f16 a3da 779e 9800
0001550 ec2e 69a6 2650 45f7 81f1 196b c97f b47f
0001560 6b8c 748a a686 ff28 5f51 fad3 c869 1adf
0001570 7582 0ea8 0850 2a63 3a64 906c 5292 b1e8
0001580 1a5a aa28 4355 8e60 eaa4 fae9 9eb6 a5a7
0001590 91b6 23a9 abad 8fd0 d18e e76f db25 34bf
00015a0 ce22 72a9 38f4 f9eb 0fdf 947a ee55 0314
00015b0 9587 faca 5496 01af db41 9a8f 2796 d13b
00015c0 6f31 7ebd 67aa b102 d16c b33e ff57 698c
00015d0 aeb6 44fe dba8 1f9c 2320 fce8 8fed 58ed
00015e0 5d4c 4a93 e39d 5a9b ca97 dd14 d4c7 400f
00015f0 5587 6400 9ac4 a5b0 525d 8f87 b4e7 a5e5
0001600 3248 ade8 6399 4710 db8f ff75 4019 77d0
0001610 ca5e 02ff 4491 97f0 34ae 236c 3787 e1e9
0001620 eadd 753e 613b 32ea e898 c302 fab6 d88c
0001630 855f 656d 0f1c fcca c72a 4a57 7c52 00c7
0001640 b4aa 0766 6141 5309 3032 429e 1be6 8a5a
0001650 fa7d 6a51 e5e4 1f0a d305 8b07 276c 97c3
0001660 1aa6 be9a dfbf f099 e6f8 593b 2dd1 923a
0001670 ac04 88d5 fcef 7663 440d 6740 3bf2 ba63
0001680 aab9 cf8a aece 8239 30d8 438b 0173 8d39
0001690 c852 a015 5e00 31df 7c01 a67b 99dc a588
00016a0 d50d a520 e5c7 b658 181d 617a 0b37 ad70
00016b0 e20b 887f 2654 b371 48c4 fe9d 4218 c176
00016c0 d8b2 75d7 f448 ad10 acaa d184 1fbb 24cb
00016d0 8ff9 0ec6 40fe 4885 8dc7 24df 057d 53d9
00016e0 99bb 5108 8d51 0252 1375 0293 bb55 e592
00016f0 d8db f842 8f77 63dc b090 0655 f15d 69b0
0001700 287d 480f 54ca a5db 5275 fca4 fb6d 2249
0001710 1e7d fb36 8b33 22ab e22f e7aa 29a1 d102
0001720 1a6d 0539 7a2f 89f8 e8b2 3ccd 2b7c 3d1b
0001730 6603 47aa 454f c570 b22f 1bd3 cb0b fa1c
0001740 117a d165 e11d 5a5f 76b2 e5cb bb92 b785
0001750 d662 4351 2659 d60a 013a b528 b576 ef2b
0001760 b902 4edf b235 fc4c 667d 5289 29b7 71c1
0001770 2661 a3b5 ec76 cf36 0c9f 27c1 bf08 40c2
0001780 2481 f512 e5f7 8423 c61f b884 0c1e 50ee
0001790 c8b8 efe6 046a 1500 83f5 6c44 23e8 2eae
00017a0 0b82 2a1f c10d 3aef 0829 1f56 d2f4 6b4b
00017b0 48a8 2027 9061 625f 8e8d a833 e205 2c79
00017c0 06f0 b570 dfb4 f953 c819 8732 6c80 765b
00017d0 af50 5e7b 96b7 2902 6af0 ba33 77f3 d6f0
00017e0 6b01 af96 4083 0b24 009b a49a c92d 2158
00017f0 e8c9 7e72 52ab 0a7e c909 c33f 9049 e300
0001800 63a6 1bf4 50cf cb74 cb66 b279 9753 24bd
0001810 47eb e8e1 78e5 3217 09ab 9ef6 ad3d 6bb8
0001820 1056 8822 0281 82fe 5402 7186 d1dc f803
0001830 4df7 d4c8 bb32 ff35 6bce 1d1d e451 53d3
0001840 6843 3645 9106 3bf3 e298 d1e3 0f5e 6bf3
0001850 8df7 2d0d 7ccb e56b 884e fa17 90cb 1288
0001860 d1e8 61d8 5272 a739 e31b da71 24f7 783d
0001870 f89e 088e 1d7e 537f 8b3e 3c00 e728 13a5
0001880 a6be c995 01a7 dcc2 6f8a 933c b73f 6873
0001890 9f8a 6560 2d66 22c1 f416 4d85 65b6 9974
00018a0 5150 4331 c560 9120 7a0e aebc 998c 09aa
00018b0 2028 83d6 e29e 0cad 8a71 b14f 0bbd 0e6c
00018c0 be58 a724 fdf0 9790 f9c4 5a28 b723 eb72
00018d0 f9c1 a675 b9b0 436f bb40 5b41 2062 807a
00018e0 735d 0237 7d63 ad04 6c15 9fad 0cf0 23f4
00018f0 28b4 010b 1d12 daf3 3b98 c42a 6d50 c172
0001900 0fb3 3542 9a25 5a98 030b 005c 678d 9e13
0001910 ab5c 92b4 be4f 2d23 629a 3727 5576 96d3
