0000000 2106 45b3 bb1e 2d4c 29f2 3526 24e4 9bf9
0000670 5f64 72ed 940e 4a2b cc65 252b e934 9142
0000680 1eba 47a8 7d86 0551 328b 6a03 3b6f d015
0000690 9a32 3055 07fb 0a0f 5464 adfd 02d3 fae6
00006a0 659d 2f26 5d84 0a21 6ae9 83d0 4bb3 6f6a
00006b0 ba5d f036 ad09 5c49 dc5a cabe 7aa1 9c3a
00006c0 10f1 bf18 01e4 8f86 0cd6 f563 ab26 4f67
00006d0 074c 7338 e976 2dcf 22fe b9ae 4a4b ee9a
00006e0 ba82 7a97 5a82 7874 e7f4 9802 dd5b e277
00006f0 10ff e424 d518 dcfa e367 9ad5 bb7f 2a09
0000700 cee2 53de 4685 f267 0bcf a9f6 f2fe dbaf
0000710 ab57 cfd1 908c 247d 09b8 afe7 2775 2bec
0000720 5708 1424 5d34 6c8f 8591 7afc 4de9 32d6
0000730 6a96 ca97 9955 8bbd b273 4037 7368 425e
0000740 24ea 68e7 346d 45e2 ec52 0f42 fb27 7508
0000750 1955 b905 109f 6ead fced 08d1 2497 2914
0000760 8361 42d0 cc3e 5105 3a3e 54be 943c 2421
0000770 777a 5d52 f1d0 7a24 4dee 63b1 606e 866b
0000780 0500 729a 4dbe 62e0 c962 a8d4 c16d b4ec
0000790 c9a8 040c 1aa4 6a18 3fef b4ce e379 ebd2
00007a0 b8a4 5cac 5ad9 7cfe 1501 35ca 1565 5a58
00007b0 431b 44e0 30eb 4cf8 0754 1b46 59fb 9fff
00007c0 f7eb 5d28 4735 f475 9c14 e0bb 856a f22a
00007d0 4038 c3cc 9ec5 e227 780e b5a0 0740 c174
00007e0 cae8 9eab 5179 1a6d 237a 6261 a6b8 9f27
00007f0 c3a7 bc45 a2bc 22bf 3285 447b 3235 0d24
0000800 e002 cc22 b9a5 a64f 885e 6423 4772 626b
0000810 671f 7425 2fbf 810c 258c ce70 0996 26a8
0000820 2ee5 fdee d031 b912 01d0 afe1 b369 58c9
0000830 8b87 3668 e11e 7bed 3f33 d783 50b5 534a
0000840 2e79 ae29 6a3a 26f2 8d40 2ecd d30a 1d7b
0000850 375a 0578 8833 7483 5870 81dc 9cd4 a8a2
0000860 96cc f5a0 fc0c b399 320d 58c4 d44a 844d
0000870 81f5 e0db dbe2 a1b7 cffb 81cc 7b11 f10b
0000880 d849 3677 e857 d949 5f99 3a46 08c0 1514
0000890 6524 7cdd 79df 24a6 cbcb 599b 4138 813d
00008a0 8636 7e25 f610 407a b09f 1c72 3443 4ea8
00008b0 fd4a 9c6f fe45 44b1 b49a d3e0 9874 090e
00008c0 dfc8 985b b5ba a9e3 a072 9ebe adca c21f
00008d0 e829 7422 959d 970a 78d1 cadb 4117 1996
00008e0 49cf 39aa f147 5f03 88e7 a164 790d 2160
00008f0 d0e5 adba 8e6b c44e a846 5afe 0e44 a905
0000900 f307 99f7 9fba dbb8 08b6 8b5b 1fab 89e9
0000910 bf89 831c 0016 5fe1 196d 8d02 04cf f0b3
0000920 0301 c722 3d08 b552 72f9 2add 328c 7bee
0000930 17ad 5811 1be3 0785 f43a 55e5 6b0d 401a
0000940 6184 d7d9 f742 7b4a aa45 f706 b8e3 7f1b
0000950 95f6 82e4 90c6 3a18 0dc6 f846 0b2e 07e2
0000960 41a5 743f 284d 516f b54d 5895 6f73 8d07
0000970 8031 3431 b0b8 aa14 6564 7fb3 0718 20e5
0000980 bea5 d849 4a77 50ea 98a5 dd9e ef7c e609
0000990 d997 2bd1 157c 4b61 f0d5 d559 e027 944b
00009a0 646a b776 4521 1f19 8dc8 1557 c4ca 5c46
00009b0 a72a 501c 11d0 5907 9ec7 d34e 2e5b ade1
00009c0 4367 3564 3d79 9890 49ef a6c4 b305 7649
00009d0 b385 4422 fb9a 932f 3f67 dc75 c4a6 3a92
00009e0 acf4 a0a7 8d1e 032d 65a8 aeda f307 fdbd
00009f0 ae86 df3f 1a73 df4e a5ac b80f 0ab0 7956
0000a00 92d2 3025 5182 ee86 271c ca4a 4765 c6de
0000a10 f190 9a4f d15d 071a 598d d9ed fd99 0272
0000a20 2a30 e23b 1b61 36fd 1415 9c28 310f 433d
0000a30 51b0 1ff5 9bd1 d153 6f79 113d a267 9470
0000a40 50d8 9391 fb80 33c6 d74d 45a7 9470 0375
0000a50 9414 c237 78aa 0963 feac bc2c 9a78 e307
0000a60 529c 2e46 013d 328d 74a2 00b6 5a2d b94c
0000a70 4507 ef24 139d 2c69 2ec7 fc12 1825 5ff5
0000a80 2ef6 67ae cd0d bddc e6af d205 0468 203f
0000a90 ff0a 1cff 2d9e 8545 b4a7 6f95 48c6 3e77
0000aa0 e107 15d6 e896 ea66 572e 42b2 d42f e1ba
0000ab0 bdb6 7a21 82b6 3b80 7c76 3c81 5b7c 60aa
0000ac0 b480 db52 340c 6851 4c34 a630 1c3d 816b
0000ad0 b071 fdcd c571 e602 70bb 8507 2052 112e
0000ae0 af8f e86c 5d88 e808 fa9f a4d1 3fc0 361c
0000af0 e5cf feab d5b4 2ab7 ebad 5596 162c 02c2
0000b00 6a46 1f08 ff63 8d4f 1950 7cb5 994d 5d73
0000b10 252e bf7c a3e2 0b53 c2fd 506c 5693 2551
0000b20 0c4a 4993 4178 31bf cfa5 640c d948 8a47
0000b30 c4b2 1f55 7937 c8ed 560c ed7b 8f5d e9ef
0000b40 a05d 95dd f0d2 9483 e6bc 9ff8 fc7f a8eb
0000b50 2152 e5ff d652 0e38 f1b3 b50d cfce d8e1
0000b60 b5d1 409a 041e 9566 eb53 b967 c1c4 4837
0000b70 dbcf fb8d 947d 0640 39af 95ff c9e2 ddb5
0000b80 19a8 5b3b 22b8 8346 93ef 25b3 54ac 7760
0000b90 c71b 8756 d116 555f f80c 6bfe e158 099f
0000ba0 a8fd 3b6f 27b7 cb7f 515b 089b 8b46 bb67
0000bb0 6494 81f8 b606 4c3e 040d 26b3 cded a0c9
0000bc0 6425 609b b830 04f3 36e9 cf41 c566 def6
0000bd0 3f01 f83e 285f aed8 315d 6ae6 df39 311d
0000be0 f1c9 d862 fb76 54ca 9b79 951e 3fef 27b2
0000bf0 bae1 bb89 6c19 dfe1 3d38 a68f 8db4 3ea0
0000c00 455a 977b 1675 9348 919a 0e49 d5ad f511
0000c10 3f47 f688 6444 2c8c e5d3 693c 0e49 eae0
0000c20 81d4 e639 eb08 16ba 18a2 c65f 4f52 365c
0000c30 aa22 7101 a080 ac38 f6d2 898c d1bf 0c58
0000c40 9883 1ec1 588b c064 7c7e 2575 f0ac 7306
0000c50 b88a 095f 97ac e5bd 8890 6fcc 20ce fc00
0000c60 b350 79ae a3a0 95f3 502d 8fc8 6a5b 6870
0000c70 9ffc e752 1fa5 6a10 42e0 94fc 90c1 0bae
0000c80 a193 69ee 057a a2fa cf18 77e9 1a71 ac8d
0000c90 d848 814f cad0 7d27 6806 6165 f621 e101
0000ca0 5f3b 660b b60e 82db 12fb be5e 59cb 5e4a
0000cb0 f51a ba79 9045 5023 fca5 2f30 90c2 bdee
0000cc0 a1a4 c7ab 5c71 3184 d2f2 33f7 18b1 a3eb
0000cd0 50c6 aef0 4be9 aa6f fb7a d432 4eed 7784
0000ce0 316e 61c7 59ef 43b0 4eb8 1aaf c1f7 6f6d
0000cf0 2810 e14a 963a df70 570e cc98 cea0 806a
0000d00 b11d 1245 f1ea a9e0 1bc2 c61b 708b 9409
0000d10 0299 bcdc f6aa abab bee1 fc52 34ae 9adc
0000d20 09b2 e332 1d72 dbe9 43f5 83d3 53fe e33c
0000d30 7db4 b814 669d caa7 a2b4 eda2 5a17 cdf8
0000d40 08c0 b592 82e0 eaf7 8cde 40fa 11a5 24f9
0000d50 6b90 3b02 eb77 9dee dcac 7877 242d 1af9
0000d60 5d84 9d7d df0c 8b76 5625 fde2 c6a4 1af6
0000d70 3160 1ef8 9f87 ed8f 697a 6803 2d84 7f9a
0000d80 1f40 65a2 f750 38d2 a78a 66a3 d067 da65
0000d90 3d96 fb49 b9b8 8563 1f97 44d0 afb8 2972
0000da0 2295 876f 9524 451f 843f 9256 428a 9d6d
0000db0 7ef8 6571 889b 7e29 e495 23cc 3f07 4c49
0000dc0 36c0 3f93 2785 b7dc e419 d45f ebd9 d3a5
0000dd0 754d 13a9 70d1 bdca 1e01 9850 0840 8ef9
0000de0 fc87 f4fa 7e83 f213 ecbc 23ae 7a0f 1c23
0000df0 7799 a1fc 3d9e d341 3a94 5d74 1ad7 73ee
0000e00 91d2 eda4 1fb5 7900 b427 43a6 e7d1 ea26
0000e10 ec77 7ec2 6d36 8999 b7f1 b4fe c9a4 20dc
0000e20 4f84 47b1 2be4 7997 fd5e 84b0 1a14 8947
0000e30 67bf bd62 c1ca e90c 8803 be69 d692 226c
0000e40 bf96 c596 07d4 ffb9 4229 b68d c7a0 6cd1
0000e50 2198 53b7 df32 046f 165a 6cbc 49a6 2592
0000e60 4598 0e29 3bb2 9fc7 3f13 6f04 a429 839f
0000e70 9d2c 4dc4 9ab9 d910 04eb 9b06 dd78 0900
0000e80 681c 9c1d 4d01 8ab3 803f 83e8 d4b6 6d94
0000e90 e4c5 b198 79bb b789 3407 5ae2 b14b 937c
0000ea0 604c 7580 e552 3b52 cd85 b2fb 07d5 96c4
0000eb0 5714 f119 d769 b490 90ea 6660 2b80 44f0
0000ec0 a807 6e5d 4971 8718 f860 2820 5349 2285
0000ed0 caed 0bca 75a0 5362 a9fe a931 c8ab 820e
0000ee0 327f 5870 e241 ce4f aaa6 e1ed 4ba1 3e13
0000ef0 b753 b69a 2df3 0e26 6dbe e766 8365 4b07
0000f00 6f8b ac31 b047 244c 3db0 35d3 3a43 43cc
0000f10 80c0 093b 404e c4aa 7d35 9245 7747 19c0
0000f20 4e39 be5f c2e8 535a 84b1 9915 6b8b d677
0000f30 a4e1 2be8 648e 3e58 298a 77d9 6fc0 79db
0000f40 949a a79c be45 cec1 3fac 2bd4 a701 5b61
0000f50 4b3f fef4 ae49 ca6f 8c98 fe58 6d63 bddd
0000f60 5d18 03b4 1657 9ac7 5861 79a8 0656 6b98
0000f70 56ce 90d3 9042 b78b 7bdd a6e4 6b69 3b23
0000f80 84d5 0407 d43f 1c56 54ec 4e49 3e12 e5be
0000f90 6023 193e 8fcb b296 18c3 0c59 e9b9 d4ad
0000fa0 05a7 5013 0dc5 9417 c441 3fd7 e8e3 c541
0000fb0 78c6 477c 7579 57d7 779f b982 7410 a0bf
0000fc0 1b63 fbe6 f961 38e3 4c5f 1042 e19c 8dc0
0000fd0 4faf 409e 6a1c e27c 752a ab58 b476 7ede
0000fe0 a9a6 c230 059d 7dcc 2d2b 6ffe 5e0a 126f
0000ff0 c480 aa21 10b1 517c 455a 0d65 35aa cb34
0001000 9bae f0ed a6df dd76 d904 4a05 3cd4 da73
0001010 9426 a171 f1ff 1f5b 9361 f57e 7884 f3ad
0001020 0400 5a02 7708 dafe 01c2 755c 13d1 d64e
0001030 434f 5e20 6088 f2b6 ef2a 8419 8915 8c9b
0001040 4023 a857 eec8 4198 b71e 5d68 7833 13f4
0001050 e636 5fba 1043 8739 af13 703a 95cb a5f6
0001060 6d73 f439 79f1 4021 34fb 3a5a 856e c1f7
0001070 7ab6 e6e1 422a 1ad1 eec8 301b 4ab0 75c8
0001080 4048 6e66 fb98 b805 147b b6c8 978c e234
0001090 a25c 0001 5da5 52d2 f1da 2cb1 e813 0f90
00010a0 0ab6 895e 48ea 4a31 ef4f 9dc3 26d5 847d
00010b0 c7d2 5cc6 0a73 72a5 9b39 bb10 6e0a 10c0
00010c0 06b2 88ab 3a97 787a e8db f1a9 066a c8cb
00010d0 6121 79f2 f54b 4222 d79b 9360 aa23 1c4a
00010e0 7a00 9091 0a8d c05a 353e cedc bfba 04d8
00010f0 0c8e b7e9 9ef7 9b55 093b fe36 01f8 0403
0001100 523e 070d 8087 4197 6d8a 9b16 3f07 b1a7
0001110 1100 d573 1c11 05da 7169 1b01 6689 2998
0001120 8048 9da6 a4eb b905 e826 d30d fb08 f442
0001130 9418 3dd6 8563 fa60 f1e0 80c3 6f02 4f3f
0001140 0bb5 aae8 f5cb d959 6c46 c18f 9806 825b
0001150 5adb 46e2 4239 87bf f933 47fa f09c 1216
0001160 34d8 5e56 185b 36e3 e105 b371 8601 0b20
0001170 1835 773f 7908 0455 99a5 a5a0 5ac0 dfaf
0001180 b84a 9333 6187 d54e a14c 232f 5075 52fc
0001190 fbf2 879a a0e4 0888 4b4b 2a4e 2b88 7ebe
00011a0 305f 3433 4229 bdea d95a 966a 20b9 ef84
00011b0 f1aa b7ba e5e2 e769 31f2 71be 9e85 2087
00011c0 2b3d 1ecc 11ed f0d8 967d c481 b575 a524
00011d0 3f16 0b8d f237 446c 4bbc cbd5 ed9a 81e1
00011e0 1f3b 3dac fcbc 6592 3122 4cc8 38cf 9fb6
00011f0 6fde 29c9 256b 8303 9f9f f01d 04d4 305f
0001200 5164 57ab 7963 dde0 4576 f330 f3f0 f654
0001210 1ceb dd96 29b2 b461 f1f1 b240 97f1 d4aa
0001220 5d1f a997 81db 3813 93c3 780d aada 2aa9
0001230 9f47 f75e 93bf b9b0 fdbe 15fa 8818 0bdd
0001240 4106 57b9 d7ab 32ba c517 cbb4 f8e9 f125
0001250 66c7 5744 ff80 749c 73ef 3c12 3635 f013
0001260 8b57 2248 3b9e 0099 ae95 139a 99b4 8cdc
0001270 31be 4cc4 26d5 3aac 8f84 9f70 c4fb a7d3
0001280 8c91 2166 58be 148d f198 1876 ccec 3d4a
0001290 6cd3 d1e8 bfa0 31bb 4c37 db36 0944 cc89
00012a0 c471 0a40 c328 abec 2873 1e06 6217 d9b5
00012b0 d638 822d 8465 80f8 352a 6d70 a4c8 1d7f
00012c0 ee92 dfd7 7779 5e47 9501 28d5 3932 2a74
00012d0 7d50 4fa0 96e5 3c4b 30d4 814c d4ad 3957
00012e0 2f2f 1438 3307 27eb 6e54 73da 40b4 4963
00012f0 da3c 8f8d c189 388a 1d05 e8af 90f8 2888
0001300 d99a 407c 4f47 e0b5 05d7 ac74 895a d5c9
0001310 7244 25d0 dd38 ecb4 8441 5c45 9e47 8f95
0001320 3415 a47f 54ee 7202 5b7c 9b46 8c41 a2aa
0001330 3bf4 0202 8d4c d8c2 d177 97d3 2fef 49fe
0001340 7c76 d7e5 1862 0b18 6d8c 9964 8013 4d16
0001350 5c3b be21 a48e 1656 7e12 5583 04c2 38e5
0001360 28dd 4c93 2129 b337 2d64 3373 1cde ec66
0001370 0bfc 1c51 a63c 396a 8f26 50eb 65cf 8cc8
0001380 969f dfab 9c79 dc40 dd7b 1e46 d819 8327
0001390 4c83 4c60 bace 86b0 9470 c493 c6ef 17cd
00013a0 52ce 84a3 3f63 a193 3c45 01a5 c565 b9d7
00013b0 3685 a29d 8f40 9b21 e286 a8b0 a6a0 8b6d
00013c0 345e 07b4 b565 5341 3681 f56d 1200 8909
00013d0 f3c6 3e18 bea1 538d 0193 f855 1c82 f239
00013e0 252c 4ac5 b46e c0c8 77eb 6c5d 8e1d 6c80
00013f0 2134 718f 1292 37f5 95c0 b415 19a2 d04e
0001400 2e25 7386 e42b 727e e2ed 0c5d 036e 4e20
0001410 e81b 864f 12e8 3110 c6ed 1cc2 fa96 9ed5
0001420 3155 c3c3 bd4a e83e b33c a00f 82f7 b989
0001430 9f0d c707 64c8 4069 2ec3 a3a6 f532 aa18
0001440 0952 e5f2 d20b 4c8c 2165 b1f0 440f fb88
0001450 bd84 88a9 5121 2cad ad13 faaf d06a 2199
0001460 bd02 66e4 d88b e4a2 0ac4 01b7 2a7b 44fd
0001470 6357 9c20 8e31 9590 3f08 c0a6 e894 fff5
0001480 470e f492 0d47 1ae0 6b0b 8032 928d 87f6
0001490 db8d 992c 9eea 1154 36b8 232e 6de9 a322
00014a0 1a9d 3bd0 f9f1 c654 f692 d938 35f6 d72f
00014b0 f59a 2182 086f a515 a8e6 0838 af02 666e
00014c0 d29e d624 b4f7 9893 46dd 9a4a 7b90 081a
00014d0 43f3 bb4c a0a7 90c7 3542 c99b 0067 740d
00014e0 60dc 1bff f0e3 b1e8 e057 7a87 d2e1 cdfb
00014f0 df95 bac4 3972 935f d60b fb20 f6a6 4963
0001500 e61f 9e4d 0783 0e33 da3e 0078 d381 6ab5
0001510 477f 192f 4ba3 bdcd 2fb3 a011 94e7 d1c6
0001520 f704 1bd3 b568 dc2a 30fa 6c74 21ef daf7
0001530 665b 3b10 5caa 4c07 c9e3 e94a 3194 b9fe
0001540 f0be 4e1f 527b f0c3 6e8e 2958 bd05 a0b2
0001550 590c 8402 3a2f c6ad 4aed abb5 6f2e 6d90
0001560 b62c 6535 e880 821e a7e8 eaa6 5b74 1795
0001570 7782 6a67 7b85 b3d8 23c5 8a3e c27f 6b1b
0001580 41d9 43d8 f1dd 95c9 83ae e6ea fb10 7934
0001590 dc79 f6c8 4e8f d809 ca6e 492c 68af 0158
00015a0 e9ce e49b 04f7 1f02 6f9b 0ed4 02cf 8705
00015b0 2539 1165 3c62 d85d a091 e722 dfe4 9ee8
00015c0 2391 68ad bb96 c967 671c e25e 8965 5df3
00015d0 3346 9f8c 8b7d d94c cd3e dc11 d559 56bc
00015e0 9d95 0f7c dd5b 3c1a 6de7 949a 9a9e d27d
00015f0 af0b fff1 7bd4 ada2 42c4 2815 25a9 3aed
0001600 4a44 be4f a1cf 64ae 60da 9f0f b5dc dd44
0001610 6c13 da18 4e6f acf4 59f5 8aeb c569 f3f8
0001620 7304 e25d a0e4 f6fb ef95 d8f7 d1d5 2e30
0001630 06dd fd48 79de 4521 3524 d93d 9f98 29eb
0001640 0896 5fd0 7de5 6311 15b0 524c b905 b439
0001650 bbdb f052 2822 893a 313b 974d 380c f57e
0001660 253b 0638 fc5c ea4f 1606 28b5 7445 0a52
0001670 db27 b9db f3d5 2b15 ce51 3d24 6c49 891b
0001680 4529 df7a 13f9 daf4 04e4 842a d1e4 0578
0001690 64e0 5f8a a6e9 5efc 39db e060 5274 b969
00016a0 cf2e 7774 3759 ec14 60a5 5c9e 51b5 da42
00016b0 faaa 6fdf fd25 7036 c934 4da0 4d4d 9d64
00016c0 08c8 8cfc 53f6 642a b1fd 55ba df9b d5e5
00016d0 b3b4 18ca 1e04 cdf6 1454 427a d905 8ba9
00016e0 79c1 4b0d aa4b da82 ac83 53f9 49d3 c34c
00016f0 59ab 537e 8a77 3adf 5f7f 05c4 3b25 4399
0001700 2c44 7fe3 ed6f 9f1a f6de 7cd7 ef09 73e4
0001710 bd44 d97f 70dc 2570 8e6d 3876 7a06 1b06
0001720 973e 187a 5a58 66e3 1aa2 a320 e5ee 16c3
0001730 44e5 c880 d74a be4f d5bc 948c a723 b45a
0001740 3da4 8596 5d65 5116 f1c9 4305 cad2 b32e
0001750 78f5 062b 9ebb 8814 f8ce 94bb cbf5 6145
0001760 bbb4 586e 354b cb50 c357 c62d bce1 bf7f
0001770 3005 e411 4443 cfd3 f0ab 5ea4 a9d3 853e
0001780 cc84 8380 abd1 cd3c ef39 fb95 a6fc 6819
0001790 2136 c6fc 2f07 9fdc 6f38 c283 a536 2576
00017a0 f681 4430 00f0 9425 007e 7f83 1603 6378
00017b0 c165 abdd 2652 28c2 623b 92e4 acad a5e3
00017c0 986e 6b26 1cc5 a55a 1609 1cb1 857b 63b7
00017d0 c139 06c9 bec3 dba4 e559 50ac 304f 2a6c
00017e0 b812 a826 015c 8964 a1db 924e dda9 5cad
00017f0 3eb5 f7f5 ff37 2015 8b00 4f73 47fb 6f05
0001800 a9ae f30e cb3f b31f ef88 5165 cf33 e8ad
0001810 b00e ecf8 807c dd4f 9286 8be1 1906 5cba
0001820 8b6a 0128 fbce d8f0 0af0 f5d8 b1ef 2c3a
0001830 9340 d64a 3268 e7bb baea 59df 0a08 fa73
0001840 66a2 65d2 1e72 2e5b 0529 33d7 c648 6e1b
0001850 d6d0 af7e 8caf 6127 d9de 2456 03af d574
0001860 d285 4673 30ed d2a2 ca09 3390 aafb 7314
0001870 aa78 89a2 8594 aa70 50cf c9a3 68da 700c
0001880 3098 908b 42d7 7ebc 697b bb5d 3df9 db69
0001890 23e8 c010 5872 ee5f 1dde 5c63 3550 bc6d
00018a0 47e3 e334 c6ce 72ee d086 096c 4712 4620
00018b0 264f 2001 8955 1621 4dd5 aac7 d9b2 c95a
00018c0 9fc0 74e5 0034 30aa d255 8468 d746 139e
00018d0 f004 489e 6ea9 873f 1ab7 7c6f e490 2c58
00018e0 e2b1 511f 8e25 7c0c e881 64a6 52a5 c1e5
00018f0 e3f2 ad0e 04de ecc2 a5b6 bfd6 f2c7 ddc0
0001900 b909 8182 3ec8 4512 dcc5 fe0f 93a2 f5a9
0001910 17cb 0563 9dd7 124c 0a52 2d39 6cd3 54a1
