0000000 d591 623c 72ac b1b0 6ae1 5e80 9c03 e7e0
0000660 a0fd 496a 75ad 7f8b 7196 579c e863 6a6b
0000670 63ff c065 a102 4118 d934 c385 c65e c511
0000680 dad0 33b8 3648 dbe2 dda6 808b a77a e06a
0000690 9d13 9467 f6bd c57c b373 4714 c31c 4074
00006a0 ccfd 98be 7584 cc6d 61f5 c505 a935 676b
00006b0 1bde 0d3d a99e 9dd3 fc3f 829c e3f0 bc22
00006c0 ab53 4c3a a3c2 076a 4615 72af 103c 8694
00006d0 a8c7 4e70 0a63 3b76 fb54 ac43 b131 340c
00006e0 2778 9db7 aa90 7e06 aac3 23fd d6b2 033a
00006f0 5560 f2b5 a2bf a4d5 6baf 8690 6ddb fe9c
0000700 b4b6 73ad c958 cef8 ddcc 7baa d2ab b643
0000710 4ed2 3b45 7b35 1a76 bae4 a1d4 1707 ae87
0000720 4359 987b 8611 40c4 0f5c 07e0 7a25 f3f9
0000730 33e8 23ea fa7a 7237 c239 5d98 a50d 5570
0000740 fc7a a212 6891 aace cdce 4837 e657 711d
0000750 b33c 7fc9 334a 6f78 a72a 5553 51ab e68f
0000760 5d98 4600 fb25 1df3 4f42 d556 c7ec cf6f
0000770 d7ad 682a a390 e417 1bd1 467a 2d01 7c28
0000780 c363 1bd7 c559 cb4a 9ce9 a036 b047 4380
0000790 b5a3 6e72 fdb0 12bc e93c 5afa 7a10 7100
00007a0 76cd a8ef e8fa 6352 e8be d52f ad4d 35fc
00007b0 6639 53fb 3a3f d909 b2d4 b320 0bbb 537a
00007c0 a0b7 811e 5abd baec 76d7 9a77 73bb 4aa1
00007d0 a6b1 9ee9 235d 66c8 e652 1b6f 6389 2be3
00007e0 8418 3d04 1786 c509 9d1c ed76 25ff 5988
00007f0 1bd8 ba9e f17f 1b6e b2e9 b73c 42f4 5151
0000800 306d 7491 392a 8735 d1eb 0ea3 4838 03fc
0000810 b0e1 ad5c a7b3 3cd5 7b9b 4522 e399 afbf
0000820 ed03 ff82 3ba3 5e6b e5c0 d58b ecc1 3e65
0000830 885f b58c 79f0 9092 d111 6bd5 3916 80a7
0000840 e475 fb8c 875f cbdb 987d 1666 2af6 19f9
0000850 d9bc 12f9 8a99 4e42 30b5 de17 cdb9 d596
0000860 caad 7482 3916 39ec 00c3 9b51 06c4 fa3b
0000870 4a1a 2e0c 86f1 532e bb12 9a33 e615 115e
0000880 1e19 0078 81b2 6f6e efe4 a1f8 b3b1 51c6
0000890 12be 18f1 3f67 210a 5dd4 6a0e c48e 81ab
00008a0 aaad e543 506e 39fc 5bac 77d1 5b2c 428a
00008b0 30e6 614f 7acb e60b f8c2 0d63 1871 f0e6
00008c0 01a5 0e68 55f0 eb81 bc62 4664 2782 ec80
00008d0 993c efff ba8f ba47 667c 6072 f3fc b6f8
00008e0 c472 d6de 6174 a6ed 3dbb a720 8a20 f5f1
00008f0 773d 44f8 eecb 5eeb fe24 4023 5b2d a16b
0000900 eb71 200c 87bd 3789 c19e 83be 6628 d860
0000910 1e7d e8f5 cd98 a3ad 8068 2c06 6ff2 1212
0000920 368d 20f0 46b9 a54e 6ba8 4fc7 7b2d 0d1d
0000930 5b7d 8ae3 6294 a960 c569 dd7d 69db 7ba5
0000940 8be8 ba4a 6a8c 0f0e 6822 5270 9c85 7686
0000950 9cff d723 226b b80f 7311 c833 4828 7342
0000960 37de 4cd9 d61c 5902 c8e4 6c5c 365a 69a3
0000970 b67c 9b89 62c3 001b deb5 f8bd f813 75cd
0000980 e32e f035 7cd7 0472 414e 0d4c 7ff6 05a9
0000990 28d0 0215 1bcc 9e5d 470a afae c05f 658e
00009a0 d67c fcff 9ebd 3a02 841b 43da ec17 4d4a
00009b0 a50a f025 2785 a361 ddfb 3389 7d37 deac
00009c0 b4e5 5e93 4909 da36 6dd7 0865 5af4 12fa
00009d0 ef0e 816d b4f0 86fb 4fc1 f336 842b ec63
00009e0 b077 6bdf b490 64ff fb8e bfc9 3754 c869
00009f0 d699 d4e6 cee9 4ecf a927 1f7f daaf 1dc9
0000a00 217a 440e 938d c721 ddea 6a52 fa08 b331
0000a10 6cdd 72f3 d227 7244 a222 5ce5 0441 b2ee
0000a20 d6f7 ad21 2784 ed9a 120e b5e5 d4ba 315a
0000a30 112c f004 29d2 1f8b 2395 a488 c500 27f4
0000a40 32dd 54ba c374 ca2e d858 a2a9 da84 6571
0000a50 5b86 65e9 e615 ff9b 4fd8 6b14 8a05 f5bf
0000a60 81fe 14be 631e 0d0a 6d2d a25d df9d 21b4
0000a70 d73d 64b6 ac4d 05cc 9b65 d7c9 b7a1 08c0
0000a80 9b1c 9801 bee6 36f6 8290 b570 3e7d 3c05
0000a90 e8d5 c8f6 2238 aa56 58a2 4d39 dfab bba5
0000aa0 02a7 6a0d d0f2 2bd0 8fb8 ce7a 7f6a 5751
0000ab0 8096 dc67 6201 2229 9982 58c5 6d49 a91d
0000ac0 5f64 b924 7acd cbb7 3620 69c6 8cb5 c195
0000ad0 ac31 6778 a92f e702 9fc4 c98f bd4e 5b96
0000ae0 8357 93bb 46e6 f83a 930e 38cd 2278 2e73
0000af0 4278 7618 8ee8 9718 34d3 0718 007f a545
0000b00 7071 eca1 37ae 4070 4d79 3100 a4e1 d5d6
0000b10 590b 9d88 5154 5406 fe44 730a 4211 01b4
0000b20 8452 12d9 b449 699d c442 152a fb38 565c
0000b30 60f9 6d53 df31 19f6 d709 63ee a3d5 d2ca
0000b40 facc f1cf a3db e03c dad4 b35f 5370 33fd
0000b50 122f 3b86 0bb9 d1e1 00e8 ebc1 0ba8 8137
0000b60 3395 37bc e2b7 1536 b7e6 7662 87e6 bdc0
0000b70 cd15 03e5 29bd 102a b41c 51d5 ab1d 0aa4
0000b80 a411 3d83 6bab c93c 74bd a0b2 2218 d331
0000b90 fdbc 96dd 3aa9 4f8f 772d abf2 321e c1c4
0000ba0 1a73 7a1d f31b 337f c1ca 8ebd 4d26 4dcb
0000bb0 f46c aa33 3189 f5ad c040 886b a564 2892
0000bc0 4b51 c862 5099 ae9d 6677 df2e 225b 3653
0000bd0 ff30 7117 ada1 011b b49b b3c0 ca0f d653
0000be0 3b53 3669 4bd8 0170 be9a 07f0 78d9 8a85
0000bf0 f9c2 a570 7c25 8f04 a514 f359 85cb 68c4
0000c00 8784 720f d801 35fb b4ed ca56 7068 7522
0000c10 3232 3a62 b8f3 0b1e bc42 f530 61cc 3b91
0000c20 2a7f c4ba b252 c5e4 8393 b72b a9cc 8f66
0000c30 d1fe bed1 a5b8 4a80 fc0a d609 9d25 c5de
0000c40 bc63 34e3 867f 1a4e 6196 4ec0 418e 1d20
0000c50 5b55 3be8 a4d1 22e5 fae4 c0bc a4b8 490e
0000c60 5ebe ce18 3ecd d8bc 70bf 2fa3 d7dc d92e
0000c70 4a96 0c05 e940 e877 71d1 2398 3ff3 1d08
0000c80 d12f f2da 522d 797f a667 8720 e9f9 44e3
0000c90 93ee a016 b7aa ca96 4d01 a4ae a830 ce18
0000ca0 2252 c56b c716 c7bf a924 0b37 42d5 190f
0000cb0 7df2 8b77 a560 0dc3 f0ea 7c4c 8506 6a1c
0000cc0 2cf8 9197 d7b6 7298 89f3 1e55 8e17 b15d
0000cd0 b05d 28b5 d6c3 9772 27dd 8f1a 8075 c540
0000ce0 9429 9f2f 5021 3998 ee2f fe39 3902 2f74
0000cf0 0407 9f65 46a4 e220 829e 8458 31be 5943
0000d00 8752 ee47 0b88 cd82 4bea 20d4 6013 3b40
0000d10 d4aa 33d9 fffd b52e 5cd2 a0bc c40f 1623
0000d20 f08f e092 280f 82c8 0734 19e0 2202 a761
0000d30 7ea0 9d8e 39dd cda3 021d 58e2 947b 780d
0000d40 a892 7779 732c c146 3e22 01be d7ac 3bfd
0000d50 c9bd 1d4a e0d0 9934 0f21 2949 c9e0 74ed
0000d60 8ca6 7a42 5521 d83e a040 801c a7b8 9f8e
0000d70 6d57 3177 a755 c22b d4b0 c1ad c724 8804
0000d80 4e92 9875 11dc 425f 4820 db65 fa42 eb33
0000d90 2eb0 e590 9b56 4285 adb4 f198 8304 156e
0000da0 3919 47c2 21aa 7581 6430 df04 fb43 a414
0000db0 1cc2 084e 1eb3 ae22 e9c7 82be 3e75 b870
0000dc0 2154 97e3 a383 8dcc df8f 8ed7 d99d 336d
0000dd0 83c1 956d 31b9 23eb c542 dd3b a725 51b1
0000de0 e5f4 4b24 096e 3a9c 6a0b ec53 3f7e 0168
0000df0 d172 b970 0527 617d 55c3 62f4 9625 c30e
0000e00 10af 4307 df08 7698 1f3a 267d 6452 000a
0000e10 185c 1e88 baa2 56bd 57b3 3435 cb3b 1cd2
0000e20 f04b 40ed 42e3 ba0c e958 e720 ba7d 5766
0000e30 c02a 1dd7 77f7 2881 ad5a ef1c 9f4e 06bc
0000e40 275b 6a1e b775 5ed4 883f b529 c4ef 2bc9
0000e50 4634 53f6 87ae 600f 24f5 a7c8 6606 428e
0000e60 d9ac fb50 a0b8 5c97 5b9d e4b5 5f60 701c
0000e70 2e7c c19a 6ff5 870c 2622 8762 19c0 fd87
0000e80 158f 4d82 315e c764 71f7 ae59 b688 3bdc
0000e90 c591 7759 44b2 9106 f49b 53f9 d46b 074d
0000ea0 4ceb 205b d5dc c7ce f9dc fbfa f065 b30f
0000eb0 dc2e c3c0 416c 14e3 61d2 fbe4 0508 f2c3
0000ec0 ce1b bc88 f898 5b5c a427 54b2 271c 9ebf
0000ed0 5f4f 6052 d880 8fc6 4fd9 fe4d 8f11 e6f7
0000ee0 72fe 130f cbf3 a245 e500 9489 d96e c1fc
0000ef0 7864 d7aa e68e 5f46 faab a9cf 387a 70b2
0000f00 931f be08 17e8 7e5e 7d32 fc77 b88e dead
0000f10 40d9 c0cf e4da 77c2 d315 cce2 f6a7 ae6e
0000f20 b12f e586 c983 0ebd 8b3a 2edb b5ea 16f6
0000f30 da72 419d 072a d99d e90c bf05 7ca1 ba8f
0000f40 7d07 9f0f 6189 953c 135c f4e8 e683 1663
0000f50 5738 c340 4e87 0102 7c94 02bf 5a01 3854
0000f60 bb73 ca52 8cba 527b fa81 0ee7 e2e7 48a0
0000f70 a9cc 8c52 8cd9 bfc0 185c d736 5e16 27f4
0000f80 ac5f 54e4 33c9 aae7 b248 4df3 9c65 c9ad
0000f90 e6de d5ba 8c70 016e 8967 033e a7d5 b233
0000fa0 62cc 6a8e bdb3 c65b 2335 e7e5 1731 5f2f
0000fb0 e68d ade7 ae8b 7eb9 52a5 23d6 df75 ca94
0000fc0 c357 387e 78ee 5f7a c632 26a2 bbd5 6e6e
0000fd0 5dfd 9f4d 9f87 bca1 dd2d 6427 e670 091c
0000fe0 0e71 b0a6 a7cb c707 4a6e 5a09 2d63 09f8
0000ff0 1eef 21b0 e03b e064 03df 5d98 154c 9641
0001000 be0e 03ac f6f9 d8d5 b90e 7a68 cc80 5f2c
0001010 e66e 1e68 cc6c 2535 e036 7fab f6f2 c041
0001020 7e3c b3ce 76b3 b68f a92a c721 793f 4518
0001030 84f5 0be4 4789 32ab 0a24 459d 5df5 d54d
0001040 3f60 a9da e231 307c 6ec2 d73e 4d04 52ad
0001050 23a7 9d69 b021 395f d097 c9cd e339 3870
0001060 2c8d 75e4 dbeb 2cf5 a953 3724 cfa0 59e3
0001070 9a3b 911b 7bee e478 94f8 e9ee 9162 7a4e
0001080 b72b b4d5 acc6 9b4e 8a36 5ac8 024f 0038
0001090 c0d7 5347 e6b1 40dc fb0d e9e9 4df3 fccb
00010a0 de4f 7c6d 1e57 01d0 630b eaae 8911 493b
00010b0 2100 e962 8a90 c79d 32c8 8286 9c66 3d8f
00010c0 0fd0 4484 5ca3 1202 1c66 003e aa7b 5283
00010d0 b7e9 bb49 eae2 6f6c c565 0851 8b56 8f6f
00010e0 5a4b c6b7 5e43 b9c8 1788 a10a 2123 5a90
00010f0 8502 9d83 e447 bf3a ec51 b477 c89b b99c
0001100 e01e 25ea b811 4050 4d5a e2b7 3a11 dd88
0001110 1b95 4727 39ee 1f0a f53f 8717 914a 5390
0001120 b66f 307c 799f b30a 8d1c d4a0 e17f b365
0001130 129a eb63 cf18 9799 c360 927b 925f 339c
0001140 e6cc 277d 6eb8 69e8 9243 fc82 b11f 7222
0001150 4832 1b56 34b6 8b03 7d72 9679 2147 5a69
0001160 faeb bd47 e1eb 1109 3951 a988 5375 a347
0001170 3eed 1f77 3a7f 9ce5 85e1 7492 ae07 8d01
0001180 b28a d474 c43c 0a05 7c41 0633 a9b5 3fa5
0001190 30fc 7ffb 5912 15a7 dbfa 2bc1 ef48 d0ad
00011a0 8a09 12db dad9 deac c0e4 3c7b c556 e594
00011b0 8c5b 6b39 6e32 e1c0 585c cafa c26b 020a
00011c0 4a83 c4d5 68b6 a71d c902 8a55 cee1 c3d7
00011d0 cd3d 2d0a b23f 7d2a 203c f38f 92b0 9b20
00011e0 4d72 d780 5531 eb5a e6df df51 1722 3265
00011f0 62c4 f17e fcb4 b32d e5e2 0e02 7618 dde1
0001200 dfbf 6f8a 9c39 c29f 2c24 8040 e6a0 c184
0001210 1dca 0499 6d3a 48b8 fddd f3fd 620d de0b
0001220 cd1e 719f 682b f549 0fde 4cab 6ff5 2caa
0001230 2ce1 9d9f 5d18 fa95 d239 259c 01d4 f2bc
0001240 2ddc bdc6 f65b 08c9 e02d 51da 2020 3c62
0001250 e20c 5173 6bf5 b0fc faf6 a01c 00e8 4db0
0001260 5aa4 6ed6 de6d fda9 942f 4eb1 c8f7 9d05
0001270 6b8b 5dff b0cf d166 2d03 a916 b0f6 0e39
0001280 1235 c860 1a16 64e0 422e 9907 c119 bbed
0001290 c47a a86b 5a4e 0fe9 b2ce d618 be7c 63c1
00012a0 349f b281 fb6a d681 7dfc 013e 6c86 80cb
00012b0 0737 6391 3f7b a948 6ec1 0f47 bc9a 0005
00012c0 024d cc83 a076 3f3d 52b9 ffb6 b407 f8b0
00012d0 e653 9a1f 7ede d1c9 1983 2d96 49ca 801f
00012e0 04f7 bb2a 5805 cde3 c16f 9c09 3080 9a31
00012f0 4c20 af29 260c 9777 ef00 2e09 60c5 240d
0001300 e8f0 e805 7d81 2063 4652 f50c f217 3e2b
0001310 aa05 1a57 cac3 cdd6 86cf 91ad 1070 e606
0001320 01a0 7f27 bcd5 731b 3b53 2d7f 6c83 7f86
0001330 9f54 bdd5 20ce 2c6a aa14 0b75 42ff 8b0f
0001340 7afe 8f1b 473b e1fb 988e d0e0 955c db2e
0001350 860f bff2 0a14 9221 bec0 108a 1327 49ec
0001360 2fdf d1af a78a 228a bf4a 80cb 05ca 3595
0001370 e478 36e9 9499 be27 bcd0 e00a 99ca 0ebd
0001380 bebe d569 a7e9 7f16 10f2 876e cf11 d2f4
0001390 021d a09e 820d a94e 5016 0b20 7ba1 ff20
00013a0 01aa cb9b d2a5 4165 5d91 8bda b3ee 9d94
00013b0 d981 e2c6 9acd 22d9 93dd 8392 7d6a 0d88
00013c0 94c3 ca17 524f 118d 4bc3 a5f8 52cc bf10
00013d0 bab3 ec17 0ccc 5ba7 9a38 ca10 3939 756b
00013e0 6f89 03ad f768 af95 c477 6177 3a8a 93d8
00013f0 948c b4ed a48b 6892 ad20 44dc 8484 2b1f
0001400 097a 7d0e 336b ffd4 07b5 45a5 348d 89d5
0001410 aa06 6e08 1945 f613 57e1 123a 00b8 c0ee
0001420 f3a2 7228 d9a2 ad8b 99c8 6927 27cf c8dc
0001430 a5ae d813 4367 2282 801d 26c8 8804 e75f
0001440 7e89 d17e 09f8 3d35 1fd5 3f74 c7fd b20f
0001450 43fb 631d 7247 559a ab86 d7ad 7724 a813
0001460 fb4a 3f6d b681 c3e1 9333 1eb3 3afc 21ec
0001470 f25e 1d05 ee14 fcb6 3778 ef98 ab7c cb7b
0001480 553a 7f77 832b 6d51 5ee9 63a1 49fa 2aae
0001490 1fec cd55 6bfa 1519 ec9e f892 9bdc b01a
00014a0 6f4c 85fd e3cb ee00 9db8 7424 4db9 667b
00014b0 af9f 4e8a 5e00 9368 957d 12c8 0f9b eb9a
00014c0 9859 f813 ac28 3e5d 5446 0c83 745a afe2
00014d0 3b57 2228 0190 2b84 4b67 62b2 4b0b e56b
00014e0 929b b456 7f08 7e4f 37f4 63dd 9463 c580
00014f0 eb1b 316c c0d4 246e 36d2 5644 117a 935d
0001500 b12f c23d e1e8 a7d5 3d8d c1fe 509a e21c
0001510 24bc 22bb 849a 7545 735a aeef f91c 5553
0001520 c25a e2e4 23f4 1a65 b367 96de e54b c56d
0001530 9299 2b5f 48f9 25eb 6db9 bcd1 2d59 fd6f
0001540 4f02 dcdc d494 7676 0b0e b258 86bc 069c
0001550 cb34 00b2 ae7e 22dc c323 c6a0 988b d220
0001560 3bf7 a6e8 4a1c 1fd5 aba0 a00f b981 8c4c
0001570 1210 dc8f c434 d24b 7426 45fe cf2a ec02
0001580 8ecc a631 a3bb 3d39 f3fe f262 8a4a d284
0001590 20e6 d40d c00e 5889 9a89 9a7f e2c7 890e
00015a0 467d 9a1b d745 4e77 01f3 acb8 fa7b 4716
00015b0 8548 59e2 baca 54ac 8a75 39b2 a07a 22ae
00015c0 5050 79f9 a9b9 42e2 18bd 3c51 7541 38ca
00015d0 ee6a f6cd f56d 0990 bc17 4f03 43d0 47e7
00015e0 135e 6e6b 5dc7 fd4d c078 77cb 8973 70fd
00015f0 061b 5a8a 2320 4ac4 ad0a 3d90 50f9 c90e
0001600 cecd 9bbe 1972 9b3a 3f3e 77a2 6761 32b7
0001610 40c3 13fc 52f6 6ac9 be65 9a4f 0139 fa60
0001620 ea10 5e85 5e8b a771 6d1f eb59 ffc6 2e76
0001630 c805 3bfe cb68 ee4b 661b 8751 b8a9 b148
0001640 bf0e bb0e 8dba a90a 2525 1524 b703 59c3
0001650 650d baf3 90b4 f98c 6447 1623 72ff 86ed
0001660 2cdf 180a da80 bc93 ca03 147b bd1f 860d
0001670 8914 da91 02b9 3a83 e0fc 72ed e731 7680
0001680 6f4e cc76 8efa 8b8c 2896 8ae8 f957 ba1f
0001690 59b3 d107 365c 9ee4 23ea 0104 2acc 8854
00016a0 2cb4 8106 e22e d995 2887 ae0a 85fc 6b4b
00016b0 902b 113a 13d3 2ae6 76b2 db69 3ba4 b87a
00016c0 84a7 09a0 6068 f237 14e4 b35d c8f7 6d51
00016d0 f979 ea87 57eb e8bf c262 2982 18b6 cacf
00016e0 37b4 6fdf 2b02 8927 c62f e389 90a3 cbb2
00016f0 37c8 0dda c500 fc21 1c3e d47a 9695 626a
0001700 33f6 cc7a dcfc af4a a915 4909 4891 c8c2
0001710 22b7 a573 418f cbe9 b3b5 7c7e f3fa 0737
0001720 39ee fa89 0cee d771 eede de2d f156 d4bf
0001730 9758 4f11 b8bf ddad e616 0e26 41ae a6b1
0001740 b835 b353 c19b a60b 3913 9da4 a381 283d
0001750 323c 2eae 929c a509 7d5b c630 7230 99d5
0001760 2343 054d 8c4a c23a a208 2a89 541d 69a3
0001770 4547 4a0c 3b7e f4ef 00b5 aedc b6e2 10c8
0001780 8e6e 6f15 690c 28f0 943f 076a cbd3 389f
0001790 c5a5 b501 5c92 e327 90f4 3e07 3d73 0256
00017a0 04c8 4c23 cdca 1ba0 f214 261a 84f1 670e
00017b0 8588 6e4a 7192 7054 c5cc 512c 9e18 cc65
00017c0 d38a 924e 7d04 8de6 d2a9 a693 b8ee 59dc
00017d0 456a 44cc b6e8 60f1 478f c6c3 6a9f 0cc3
00017e0 e877 4cf7 d563 e84d 0274 0c68 c3da 9d99
00017f0 3b56 9e5b 8527 3469 b812 1010 6932 92d7
0001800 7e54 9709 dea6 b29d 6d01 e2ea 582b c314
0001810 5503 52b1 7bd8 e6b9 1a7b e25d 8296 ad22
0001820 f01d 3d11 e877 813b b95a 125d 439e 59ed
0001830 c4a9 62dd 90c0 eaa3 eafc 4b62 9858 4c36
0001840 0b10 562f 67a2 b5db 098d ddd1 b3f1 bb1c
0001850 c490 683e 353b c9ea fd0c c6f5 7077 abee
0001860 dbcf 2704 8b4a 4f59 da33 1c0f dadb bfb2
0001870 c1c5 f4e8 5458 26f9 0b02 a340 991d ada7
0001880 35dd 7abb f221 c263 e09f e710 d215 da36
0001890 dd02 044b 7b29 16e7 7e12 1ac0 9291 4388
00018a0 a75f 3186 fb7e 8ed3 2b55 3d64 615e 70d0
00018b0 59ba faa4 3212 3812 674c bc53 cd5f 65c1
00018c0 09b9 0831 f86b b835 10c6 699c a306 3614
00018d0 f4a9 db1a f4d6 2a89 adfe c30d b09a 621f
00018e0 f681 da91 ce61 dc4c 8615 9e05 7477 d77e
00018f0 4616 4548 7cd3 5f68 f679 65e1 7da5 9894
0001900 6703 5579 f3d0 5b5c 200f c70c fa26 e038
0001910 3a6f f976 340d 151b e211 1045 8dc7 3075
