0000000 5fdf d0a8 37e1 5473 91ef 4e3a 8549 6d92
0000670 91cc 7596 fded f862 0e73 48f5 e78b b308
0000680 f3df fe8c 19cf 143a a552 5ac2 ebd6 929d
0000690 6a8d bcbe f192 1abd 559b 4e1d 9510 7a0a
00006a0 009b 8779 8cd0 7ff5 2a8b 27ae 38f5 fc26
00006b0 39f8 b42f 0940 e500 31c2 73ec 8ddc 3e62
00006c0 738f f7c6 7fac 925f 9d0e f600 5b79 eb39
00006d0 37c6 599e a021 f669 bc64 487d 3024 595b
00006e0 80a1 d050 338f 99b7 345e b825 606c 0e15
00006f0 1c21 55e5 2474 3dae ab17 70d2 6c55 a7fb
0000700 c084 e0b5 e824 40d7 abe6 00c5 5b8e b1ec
0000710 229d 744a ba18 5f63 5d4a a239 cc0c a94c
0000720 6661 48bc e966 2c39 683c 8146 8462 fb81
0000730 1053 cf87 aa4c cd19 a063 9092 2c3d fda6
0000740 ced6 911e 435c 8bee 352d 19d7 8f7d 2ad7
0000750 8df5 98eb 292f faf6 58ea bec7 4ffd c3ac
0000760 2090 9e2b 2a65 ab78 ddf6 b3f0 2ceb 7574
0000770 3ed9 a266 b2cf b3c1 a239 25de d216 41a8
0000780 7363 9239 7e57 8799 60f3 8a5b 5063 3962
0000790 017d a00c d74e ecaf cd9b 355f 5632 0f0e
00007a0 1b12 2c28 6bd4 5b47 74be 9e4a 4e0b 0c26
00007b0 5af0 bb4b 49af 5e2e f5c0 1717 7910 433f
00007c0 ff73 1e2d 13b9 31f3 f988 5648 369f 34ce
00007d0 53b1 a080 40b4 5eb9 1d29 1e22 2652 e68b
00007e0 dd71 599f 6a24 83a9 e165 3e1b 2a8d 1b1f
00007f0 1f3e b300 74b9 cd93 bb6b fcb1 7738 4418
0000800 ad0b e3b0 fc16 6006 981d 81f9 5edf 2166
0000810 95bd b091 5bfd 1c29 4e71 b6de fb9d 5add
0000820 88c8 24c1 6bcd ed49 94db fab7 3a17 2c9b
0000830 8e36 374d 1d90 01dc 8059 89e1 d5b9 5991
0000840 fea3 24a7 0bec aea0 2bd7 615b 95b5 bede
0000850 3b9e f87c b4eb 4d49 385f a543 f481 3ac4
0000860 00ef c816 fbed 3e80 e3c0 b47b 03b5 e236
0000870 0d43 da77 7f6f 59ed 4d0a 647a c107 07a7
0000880 49ab 540f 85dc 6af1 44ee 3998 ce92 5443
0000890 9bf8 8b97 b1c8 783a ecb2 848f fd91 8007
00008a0 3ea5 8c54 b9c5 3740 50b9 ccb3 d113 fe9d
00008b0 848f 1463 7c5f 9ded 6098 a7b1 5b0d 71fb
00008c0 a03f e873 9190 686a 4c1a f902 93e1 cd7e
00008d0 f5e5 a8ca a4a5 4e7c dd2f 7c71 42cf 84bd
00008e0 b769 0660 8027 2c58 fa1b e4a8 0b22 b270
00008f0 eadd 65ac 36e1 bd51 5fb4 c602 4b1c 0c98
0000900 e71c 1b6a 1d04 e680 a831 0b1c 434a 8acf
0000910 74b2 ad46 cd86 dc82 5362 ca39 a993 7954
0000920 f7af a2fd 178e f5ed da79 2dff 9ebb 3517
0000930 3186 d41d 1630 94d8 22e5 2568 d292 af8e
0000940 4fd2 0b13 6d62 c49c feb5 ed57 ad18 b5e0
0000950 b473 fa9e b07a 4283 e8f0 702e e4c7 0bb3
0000960 3e02 27d3 d62d 0ebe 747d ae4d 43b1 b04f
0000970 8b4b d974 78a7 f827 2cdf d21f 9e9e 3c04
0000980 55cd 1817 140d c757 5e4b c95f 007f 0158
0000990 40e6 796b 8c0a f5bf 9ebb 0b5e 2fd4 addd
00009a0 60a4 9b1c 7044 3372 e414 b8e4 cc51 a34f
00009b0 f2bf dd44 1b21 0b76 66a7 2110 b0b2 8746
00009c0 b7d0 ae18 8ada 505a 118d e3e1 d681 da79
00009d0 10b6 3ad0 5fe0 315e 9998 62fa 6a16 5bd7
00009e0 6ea0 a0d2 bfcb 54a1 239d 408e 6799 0856
00009f0 8432 556a ed2d 9e5c 9ecb e19b 7073 6fe7
0000a00 7c80 7b93 010a 9486 1264 4e7b 3f69 e39b
0000a10 1c37 20dd 186e 6509 6b8c ca1c f357 2580
0000a20 a261 66f1 a77c a183 333b 7a81 666d 544b
0000a30 bc03 41c9 8084 58ee fb5e 398c cee0 6bdc
0000a40 9275 00e7 54fd 039b 39c8 9aea 0ad1 a446
0000a50 7043 5862 8fc1 7ff4 6eb7 aa5c 59a2 bb6f
0000a60 9dc8 4c22 0789 25af c6c6 50e1 339a 07b3
0000a70 2d1f aff9 948a 383e 86e0 45b4 9014 36b5
0000a80 bbbf 9908 f00b e3a8 465c 7c9f 2cb8 3b0c
0000a90 e979 480c a3e1 e050 b344 b0cc 281e 8b7e
0000aa0 8743 a8bd 6b0d 5de7 5f7a eb55 18f7 a5eb
0000ab0 e265 234a cff8 1f2e 6e87 bd49 39f3 c870
0000ac0 842b f5e9 8f8b 277f 997e 0c32 7d87 c7bb
0000ad0 83a2 64b3 7f25 b417 2c3c 4e04 fe56 34cb
0000ae0 0092 4319 5792 ad26 fb3e 5887 5531 d6d7
0000af0 5b37 bc10 c1e7 ce40 5ed6 d8bf a18c 15cc
0000b00 6e06 ee96 47eb a8ac 8f4f 247a 556a a504
0000b10 99ca c77b e305 ac99 67bd 5a51 8ed7 1f02
0000b20 245a 3ab9 5c2d b7de b5fc 700c c23e 115a
0000b30 a6fb 1249 5a1f ffa5 bcff b7b1 f9a0 71ef
0000b40 65f7 3eff fdab 9e59 3575 a70c c120 2a3a
0000b50 d5b4 8b0e e4b5 fef5 b67a 95bf af41 b8d3
0000b60 06d0 6717 d72a 47b8 97dc c516 64e0 9924
0000b70 4bec 56e9 bae5 2485 f9b8 e611 3ce5 1d14
0000b80 afcf 330f d16d 718d 5b1d c9b1 18b0 bd50
0000b90 aefb d502 9c4d 1f3d 2da2 99cd ec4a 3716
0000ba0 99c9 a096 fdba 5e78 dd67 9e64 d899 56fc
0000bb0 4c23 208e 4dbc 1e2a 60cf 97b8 6895 82e5
0000bc0 1fe7 8b6d 1be3 0c73 6ade 7188 2bdf 1714
0000bd0 4f38 b7b3 011f f553 3f0e b6f6 5fd0 696e
0000be0 7e3e e9e8 3e02 8f47 39af 2b7d 3fe1 643d
0000bf0 47c8 e56a cc79 af72 76e5 aec5 fee8 d441
0000c00 fbc0 d742 8bdb cc53 6d37 ea01 952d 582c
0000c10 f563 851b 7668 1382 23df 9423 a4b0 5787
0000c20 f64e 8668 91c7 5e6d b0b0 d904 0c42 c661
0000c30 5345 9972 ffc6 a582 2616 23c3 bb6b 5907
0000c40 87a6 16a1 181a a283 4968 b616 b31e be1c
0000c50 9812 9d37 3fac 44c4 2852 e9cc 79f5 73ec
0000c60 4870 58f2 403e 8d5f 586e 0d6e c88a fd89
0000c70 5a85 7a2d c022 0198 3ba8 9e61 5f40 cf07
0000c80 8725 4895 44a9 4ce0 4668 aa58 1f76 1e37
0000c90 2d30 3bed e530 e935 e105 c006 63fb 6e5d
0000ca0 7b9b b788 26d5 21c0 9dfc d78a 7aa8 4d90
0000cb0 d4d9 b233 a24c 4d8f 2549 1b6b bd6a 9a58
0000cc0 9b15 f35e 2a33 3d54 3ff7 1e43 437f 9486
0000cd0 52ec a57b 3aae 04c4 5d56 e747 2cf1 1928
0000ce0 6bf4 2231 f568 010a 41a3 4c49 4cd1 69da
0000cf0 da69 f98f c088 c945 3815 e999 e560 fd80
0000d00 bf22 4bdd 5fdb 4ce1 b6d6 bbed 3847 2f0c
0000d10 2132 e6f6 8c73 f717 b0d3 22cf dffc d6aa
0000d20 6f14 5e7f 793f c19f 412f 8578 c556 7923
0000d30 407a 4019 f835 5daa fea6 617e be97 a30f
0000d40 3036 9ddc 412d 624a 7317 71c4 c2fc 5658
0000d50 8096 0b1f bbd6 f8c9 b5c2 898f ae8b 3db5
0000d60 ad33 d538 e068 e1ce 306c 0f04 8ac8 87d8
0000d70 2329 5fa4 a815 d28b 1d84 3f6e a3fa 3b1b
0000d80 d672 63ec 15ea e084 35b2 8344 ec60 e5dc
0000d90 8a06 2556 e4b6 7972 f2c2 d41c 0eb0 bece
0000da0 02d2 e5d7 c271 362f ce33 6d63 9acd 33cc
0000db0 b9a9 9edd b93f 2a5a d5df f150 519d 629e
0000dc0 fb5f aca9 90ef c981 40be 6caa 1aa2 bea5
0000dd0 b56d 41cf b4a6 ed05 66e6 d54c 046c c63f
0000de0 7d5a 8157 8656 b880 4edc 3173 b19b c536
0000df0 a6a6 65ff ff0a d546 68f8 0771 5bbb 2ad5
0000e00 50b7 a7eb faba 3cea 61dc 852c 57c4 2ce6
0000e10 ba36 3e9b 7af4 e5d5 a8af 7db0 a9a1 ae52
0000e20 d118 64c7 76a5 3669 641c 90bc 166f 59c4
0000e30 0eb8 4428 70a6 0824 d5d6 e2f1 c883 9d3b
0000e40 1319 2c93 c3ae 64b1 f1f6 fdba b02a 0e42
0000e50 c18b dc02 d082 c127 7d7a 5e96 6269 5170
0000e60 27a3 a01c 6306 db20 49e5 dc71 ee0f 6ac5
0000e70 d79f e77d a144 3cb4 3773 3b23 80d3 a4f0
0000e80 84e5 ec1f 1798 5800 2ad4 4add 05f8 3884
0000e90 90d0 e523 2ade dc5d c8c5 88eb a8a6 a6ba
0000ea0 ae55 3ea9 f28b e898 300d 1592 b2a1 5b83
0000eb0 a6d6 6522 15d8 940c 2728 2c70 1931 83d5
0000ec0 46e4 9f20 a806 6d86 fe8f 95ee c20a f79a
0000ed0 c3d5 3f5c b1dd c1a0 d319 cd5e e1bd c276
0000ee0 723c fdc4 3a8a 67ee 13e5 625e 03d6 b02f
0000ef0 53bd 5417 8fa7 87ad 100f 8ce8 1fc9 6644
0000f00 de49 93c3 28c8 0fb9 b6e2 1f42 467e 1050
0000f10 3cf6 5c68 44aa 734d 5584 343c fba5 2fff
0000f20 97aa f3e3 1abc 85f0 436e 27c1 1f62 1182
0000f30 2766 818c 890f 624d c21a ce31 2a6d ef00
0000f40 19f5 b3aa 84fd 0127 fda5 17af 71d9 00ae
0000f50 d984 a219 08bb ad5d 3b6a 7417 2d5f 14b4
0000f60 3697 67b8 bd4f 8520 7a11 65e7 846d 1c81
0000f70 9eb6 d22f 1397 a733 a6e3 3580 df35 9ead
0000f80 4334 34e0 a70b b25f 4404 3d60 2fbb a149
0000f90 963e 63de 1981 929b c335 edd0 8586 e1d5
0000fa0 2086 8b22 b42c f27d dba2 e9d7 a399 b8c1
0000fb0 e45d 6a78 07f6 5944 f8c9 65c7 1e02 64e2
0000fc0 5e72 c8a9 b086 a752 7c53 0dce c301 9181
0000fd0 69a7 f633 27d1 c2e1 65ee 2228 98e8 ba90
0000fe0 72be 1f9e c903 cae4 a7e0 eb79 e503 7232
0000ff0 5fda a0f4 8064 6b5d 59ce 846f 72b1 763f
0001000 3ddc 85a0 2269 32df 0e6f 903a 24db fd1c
0001010 6943 4264 98f5 e40d f2dd de97 2718 71b7
0001020 a849 b9b4 d7b2 7dfc 1d81 f397 825c 6a9a
0001030 8bba a176 05df 6b09 8f89 c8d9 75a5 9117
0001040 4769 7a22 6c9c bb13 d7ad 4914 6b6a 3b4f
0001050 2cfd bde2 ce67 1dcc 49b9 5830 9e3a 6897
0001060 0235 7b58 cdd0 1f42 97b9 f66e 8434 777d
0001070 a2a4 f613 718b 525e 2bdd 1196 d60c 00ea
0001080 49fa 3af6 95c1 918c 6ee0 dc8e 9642 abbb
0001090 9277 d334 ea29 6a09 b54d 9868 976e d963
00010a0 1800 74a7 1360 a40e 8de0 e975 078f 6b82
00010b0 39a9 f4b5 f4ed 2ea0 0ae3 e854 6596 bee2
00010c0 797e 582b b654 d7ca 5a76 0710 b38b a123
00010d0 51ba f90e 33bb d4f8 7484 671c 6487 622d
00010e0 bea8 df28 baa1 98f8 3d17 0544 e195 2fe0
00010f0 22d1 04c3 8ef4 eb77 6984 6f93 e907 0ddc
0001100 50bf 56f3 71d2 feb6 afde 99f2 36ab d3e4
0001110 8326 6b45 6425 f7d5 ddc2 b50b ab03 8d83
0001120 12b7 d046 96fd a755 2efb 1b0d d32a 1dae
0001130 3b52 31ab f3ed 00f8 ce50 0b71 8922 3413
0001140 47b8 cfbe 8258 ac1f 910d 0b9b cfc4 0f40
0001150 d0be 5020 ff73 d14c 1094 40df 7da5 e0fb
0001160 8966 9134 678e 2214 c1a9 463c 20c8 2801
0001170 1178 ad1a f56f 67af 22fd 65b0 e147 8175
0001180 06b7 5525 60f0 1e47 1043 2f36 9323 5ced
0001190 cbda 8f85 620d 8711 7db5 4360 dca6 8bfd
00011a0 047d e55c 3be1 775c ee7a 660d 0a9d b96f
00011b0 f6ce d413 ab60 51a6 c780 c2c0 9795 e255
00011c0 f195 d1d1 10e0 5a4d 887f ee3c bf44 376a
00011d0 39a1 f795 d95a f478 6921 b6c9 7704 0e3c
00011e0 86e3 5a98 51ec 5b42 dc65 67a1 25c1 8a34
00011f0 6117 8e31 ff36 c700 0daa b5bf 2cd6 02c1
0001200 6f0b 680c 7fb7 1b1a 4c2e bc4d a7d0 7117
0001210 70ec f9be b0f1 3caf c1b6 ddb3 39d0 0b39
0001220 49a6 abaf 07c9 08b9 7624 b76e e46e f450
0001230 21e8 508d 7ecf d94e 1c03 09fc 63e4 5150
0001240 b5f7 9da4 ee60 2c7a a292 325c 1fcf 83b2
0001250 7654 714f 31f0 d803 4a82 ce53 9d0b e312
0001260 2e6b 8e75 a628 46e9 d7b0 b60c d44c a173
0001270 8071 9989 a985 4521 511c 4681 c2eb ea66
0001280 ef3b 4c0d 30e1 74e3 cb8b 9964 76bd 2c47
0001290 2af4 1928 8f1e 1742 59e4 de49 625a 226b
00012a0 9c99 4d68 9b00 3f0a 334f d74f 9e55 6823
00012b0 1347 4e77 ab01 8f04 f11a 86b0 3dd1 156b
00012c0 e756 2484 0fb0 203d 4324 cae9 7467 6310
00012d0 95ac 7df9 d5e3 fa24 230c 9a73 155d a972
00012e0 485c 51f0 035e b357 5ade 79e9 5431 37d5
00012f0 a8e1 c393 6b75 3fdb a889 00c8 14ce 0c03
0001300 a121 00f1 89ac 185b e75f e376 cab9 cb57
0001310 9061 74fa 3e4c c901 fd6b 6914 bd46 1c7b
0001320 5888 c1bf 4350 fc3d ae69 a2b7 a608 1fca
0001330 80b1 5b27 0588 fd7f c975 f519 17f9 747b
0001340 ff22 dbd4 eab3 b546 cf6d ccf0 584d 8d37
0001350 b010 174e 39a5 fa18 5b48 880e 1ac1 e6bb
0001360 bb0b ba69 354e 245b b680 b361 c488 bde3
0001370 6507 3d65 a36e e54d 8d7d c743 4247 4d62
0001380 35ab 1879 0d94 5537 1484 9e32 4301 c0af
0001390 c2f0 878e c6ba 9d33 8285 d3ae 07cf 62fd
00013a0 c2c6 2c25 f8e0 6e06 a908 6b81 d6e3 7dc3
00013b0 0706 f58e 1724 b035 e6d4 1741 3466 dafe
00013c0 d530 6adc ee4f b3cc 0db4 ea58 760e ffa4
00013d0 1bef 7cfc 451b 428d 2d5c 9c84 ed87 98d6
00013e0 94e9 0084 0f61 1970 5866 8e81 c331 d421
00013f0 2a54 d36e c3cd 3ea4 40ca fc04 768e c6b1
0001400 01e1 b792 6db0 da5f 2790 3253 617b ce99
0001410 e2e3 8e86 e3db 6bca c193 b0f9 089e 83f2
0001420 3464 e92c 9e99 f691 484a 707f 61ae e8d6
0001430 35fd cda5 029b 63ca 7916 d2b1 66f0 afe2
0001440 284a dca1 f4e7 a058 82f4 d6b3 812e 26bf
0001450 c965 dd62 6bef b48c 065d 8ae2 bce3 5bfe
0001460 003b 318c 859e 82d0 cdcb 6361 055e 0587
0001470 54c1 6cd6 73f1 01fe 4850 7242 a734 925a
0001480 6df1 3de8 d679 ad07 9e7d c42e 06e8 9b3a
0001490 c147 392f 7852 dd31 c556 16dd f3f5 1100
00014a0 7f54 0d39 27c8 4b47 e907 4d2f a1df dc5c
00014b0 a749 d96f a3ad 2a73 a836 47ec 1faa 8069
00014c0 d23e 0793 4555 9997 d8e1 5ea2 576f f5a7
00014d0 4e1a 8371 bc77 2564 01b9 9bf4 e3c7 2959
00014e0 a2f9 8e06 6a79 57d5 c672 9e5d 6c7c 68b9
00014f0 d603 37dc b3a3 0b2f f328 7dc7 784c 7d2b
0001500 b59f 2e3e 382d c701 7f59 c5e3 c083 7235
0001510 3a79 4501 6854 b041 c6f3 7032 8d1b a5f5
0001520 f59c 337c 5a04 6fe1 b540 beda 817b 9d64
0001530 cffa c825 9bb8 7940 9f98 bff5 ae1c d1de
0001540 8d11 211d bacf 0665 89d0 b7dd 5be0 90ad
0001550 9f81 4db5 fc3e 67e2 6d9c 0eaa 9061 3106
0001560 9ee3 96e1 1920 d71e 31a1 64e9 9cf2 4c48
0001570 3590 31fd 9f6e 4872 2ef9 17e3 c0c3 98d1
0001580 1f80 64ef ad39 1c1e 2757 26af 5631 58e1
0001590 6b42 7174 baee 3d2a 4a76 2a35 6c39 9bce
00015a0 e19b ec29 5050 e688 1570 4fd6 bd38 f8f2
00015b0 1135 f627 6d15 3a31 c76e 98f0 9527 2a29
00015c0 1853 c4de 8f04 2e45 5e10 377f 6c33 69a2
00015d0 e2ef 5e78 5836 8208 44d1 40e9 b443 b5b9
00015e0 f80e 1414 89fd cc2f b5e2 40f5 6fd0 7547
00015f0 e491 b9e4 def8 2465 feeb 8dd8 6dc4 3f84
0001600 17be cc10 5eac 3db6 28fc 8d4a 90cb abd7
0001610 52cd ec3b 892e fbb8 eaf7 15ef b918 a3dd
0001620 524d a452 5b72 b9e9 2c64 39c4 4d53 9d7d
0001630 cde6 39b7 b92c d29b f921 e36b 89bc 37db
0001640 9cc8 2f91 b7a6 7693 b946 c92a a482 6423
0001650 1e0a cd54 4a77 48c6 20f6 e682 ddf4 945b
0001660 801b 6caa 6a1c 5064 3cfc 4602 8321 8512
0001670 3b5f f8ec 1ef7 1b02 894b 91cd e09a 1311
0001680 af37 b29e 2978 3be3 5773 3fe8 7a21 0c8c
0001690 28ea b5d1 1f5d 4043 6c34 3746 c0ea 9a21
00016a0 90d6 3ab8 f0ef efec 4963 cbea e2b9 ee6e
00016b0 fcff b83e 3c8d 07fd e4c1 d2ab b5cf 98ab
00016c0 9858 e98a 6298 60e5 dbcf b3d2 d71b 954e
00016d0 5af0 6c7c 27ef ea6b 9f71 6b7e b8c7 3769
00016e0 f899 3c94 2986 d1be b62a a99f c651 7122
00016f0 05ae 56fe 46e5 5ea6 4aee 3709 6f8c 13fc
0001700 fab0 3923 a317 308b 9aa6 07b0 82c3 2e1e
0001710 1500 2da1 5aa6 6de7 9c0f c0c9 9770 8086
0001720 57b2 1870 8c19 d894 9dd5 a5c2 4bbe 63dd
0001730 a812 5758 c1d9 4bae 14a5 4ea4 6fcc 09da
0001740 e53c a475 31f5 ec41 ef79 fe34 7536 71ad
0001750 4825 f45a ea94 c687 d93b 9c02 400f e522
0001760 2813 f8fe fce9 d9b3 a9fe 4262 b06c 3eb5
0001770 f997 19c6 8147 cb6d e25f 46d1 3512 52e6
0001780 253f e690 dc53 9a78 335f 6374 9f7f a0e0
0001790 d798 78ed b46f d02b 8f6f 9fa0 f818 d1fe
00017a0 7b33 ae4b 04b6 7f46 f60c 6937 1ffa cf1d
00017b0 a574 6bda 5bdc 54ea ed29 3476 1c54 b72b
00017c0 44dc d3d2 1f19 2312 37f4 314c 21da 07e6
00017d0 303e 0b1f 7e9c 0e2e 57ca 7875 4a32 33cf
00017e0 9414 81b0 02ed 18a3 4eb4 50f1 ee26 536c
00017f0 8000 2418 c89b 3422 7f5d b8e9 7acc b119
0001800 3616 7779 d68d d279 bd61 c29f d251 197c
0001810 983d 43ae a90e 6e54 4262 fbd8 0b3b d4b1
0001820 110a 01ab 1db6 d677 a6d2 95e1 c81c 7353
0001830 9ccd 0efb 66b6 694f e99c a9eb 7a8a 5a0f
0001840 8316 28a9 5b7d 9aca a098 c64a c2c3 06f7
0001850 dd87 0057 862a b609 a269 4be2 4a59 37a3
0001860 6096 7d13 827a 3ec1 1195 ccd8 30ed 957e
0001870 4727 cc57 ab72 2a07 3a9e c079 4550 38f0
0001880 85cd 33b8 a8f5 8d3e d6b0 d003 1c78 1dc2
0001890 3b96 746d 7b02 cd25 01a4 bd40 4595 c02d
00018a0 f693 5f09 b667 e384 d84b f6a5 4b4f 034d
00018b0 2b64 25cc 7f40 c767 5967 8c0d c7ad 2978
00018c0 ab22 3d4e a66f 2612 3946 a1a4 3e1e 7821
00018d0 058b 0f46 5d35 5d2d 3994 0d5f 75e5 c323
00018e0 230d 4ac0 499e ae72 b677 d299 d641 306d
00018f0 8d51 7c9f 2786 8e55 07bc e400 6d78 5d78
0001900 1599 f7d5 75b8 6082 54d5 7e53 bdc5 c60a
