0000000 4f70 e781 bf31 ca3b e690 a56c cb1a cd56
00006c0 7036 1a1a 368e 37d3 4cfc be53 deb5 14d1
00006d0 4078 198c fadb 9e2d ebab b019 11f9 6735
00006e0 e8f9 f8ba 6a58 2f9d 9e42 4abd 0aec a198
00006f0 ee89 f47f 08cb 2089 fc6d 5496 dcd4 8925
0000700 9f7e b7af 5a78 f8ff 2f37 86fc 98dc 5008
0000710 7bff 025c 3b08 abcf 4cb8 a236 6b24 3c78
0000720 9094 f026 d842 011b d574 e091 f68e 1361
0000730 e56d a158 1064 1b3d 4a8a b771 a68d 0f68
0000740 bab7 8120 d8f2 892f 6337 372c 6f31 1b11
0000750 206d e90f 116b e474 850c b135 7115 15e7
0000760 cd86 748a 93f4 6ed1 dd30 253d 01a5 5cbc
0000770 647d c5af 0668 4fe7 33ad 194f 883e 92cc
0000780 a334 e932 c0ab 3402 6948 3396 8517 6925
0000790 113a a295 5c03 ae24 78ce a343 9002 50e4
00007a0 f355 1ac3 fc56 8673 1743 c9e1 22a7 1e7b
00007b0 8682 78bf 7e57 764e fca9 f281 75c8 edda
00007c0 4fcd c395 eeb5 442f 9310 9513 e980 7d2a
00007d0 b652 13be 1a73 79f4 e57a 80b0 5c90 3412
00007e0 eac4 6986 62b2 1cf1 9ea6 52fd 57c1 f4df
00007f0 6a1d f20f cfdc 0498 78c4 7d8a d669 2465
0000800 b81e 4e7a fb92 4c86 2e3d 9b69 5dff 074d
0000810 8e69 35e4 68ad f36c 6495 ea47 e09c ee34
0000820 46cc 15d2 9fba fbd6 f55c 7973 890e 8f66
0000830 bfd4 10ab 84c7 2cc1 754b 060c 0aa2 c184
0000840 bfb5 2656 a651 37ce d970 cfcc 8540 ff40
0000850 77ce 1f21 ae66 da02 1a9e 01a2 cf72 7759
0000860 6a2d 4c5c 002c ba67 1413 aa01 dcb7 ebb2
0000870 1783 fda5 08e1 9031 8d90 2848 f030 426d
0000880 8ae5 d47a bd7e 9d84 89b9 3f3f 7be9 2a25
0000890 1bdf 950d 3b99 93e6 71c6 7b30 2bf4 f275
00008a0 1170 11e7 b394 3002 6464 e254 6854 a0a0
00008b0 5ef7 904f 4d80 9d07 26f4 6fc4 512d 2a08
00008c0 dc33 9a4f afdb 220f ccbf 53ba ede8 f1b4
00008d0 d061 4a05 26b8 ca1f 1a85 9011 5f60 8900
00008e0 ce30 6b8c 8d84 d43f af61 4631 9151 5d05
00008f0 009e 4cdc 9378 90f1 a571 efde b8af effe
0000900 81fc 0383 f3c5 1827 e300 0b78 346f ac2b
0000910 a27b b854 50d6 7791 caf6 a80e e0d1 7810
0000920 4b93 e276 fda6 7884 bd0c feb6 a62d 3c72
0000930 ea77 1791 fd22 86f4 281e d4b9 8578 2eca
0000940 8202 1aab d784 1fa7 2916 0d6d 0d03 131f
0000950 163a cf2b 3825 071e 169b df10 295f 7d34
0000960 bb2e 779f f071 0d53 8ee6 ae34 1fe5 5513
0000970 4cff e503 72bd 61f7 9209 a73a 972f 3edf
0000980 7147 2ede c6b6 57cb 72aa b64a eff3 15f0
0000990 865b b8df 2de5 4c10 16c8 358f 1dd7 d07d
00009a0 f7f8 db4e c1f7 2125 00ad ee09 04af 0953
00009b0 d46e 35ff 3e35 984d 666e 35a0 4199 489c
00009c0 5e04 f59c 4dc9 25b9 2462 7a1c bc56 a687
00009d0 8b52 e3b2 ef02 3477 d666 f19e e4d4 d19f
00009e0 4916 161f 6137 4790 e203 571e 49f5 da98
00009f0 d309 9a08 9b92 6ad5 9772 49cc 0ff0 dc94
0000a00 ceaa fcae 737f 95a7 485e 91fd b530 5bb3
0000a10 ff75 d207 8ea1 4652 c439 8f58 6c5f 1767
0000a20 fd6b 99f8 8ec0 f0cf 4ad7 3233 160f c11c
0000a30 b069 529d ce1c 7140 15ca abcd 3465 a1f3
0000a40 1d60 3706 00c7 09c5 4ccf 3ef7 65e2 ba3a
0000a50 bd99 6a15 a3a2 d69e 9d94 126e f2a5 5540
0000a60 1077 f5f4 2dc5 de51 e4af 8738 1fae f189
0000a70 f7f0 fdaf d331 40a0 ec64 62fb 2eb0 43e5
0000a80 0a5a eb8c 7c41 158a e1b1 1bc5 01a7 d840
0000a90 ea67 38b1 9e97 6995 4414 6a85 e2ac 5f9c
0000aa0 ae08 9c26 c0e4 8575 5250 1e78 a676 ea56
0000ab0 6700 5a87 b519 4d6b 2839 f36f 8975 dd21
0000ac0 35b2 d956 15fb e5db 0d59 4afa fbf9 da22
0000ad0 fe17 0da1 21c0 1b42 299d dc27 cda4 5aa4
0000ae0 e255 9374 8b20 b1c1 49ee 2d5f 9306 327a
0000af0 256c bf59 acf5 1109 bbb0 cdbf 8a1c ac9f
0000b00 969e 5418 9c5f f7f5 0062 9700 6f3a ac77
0000b10 e58d 60a1 4224 e7fb 57c8 4231 1bb8 6f0d
0000b20 de83 795b 1bab cf66 7212 9955 5a45 2063
0000b30 bb79 3646 e81d 5c1b 183d 6298 3581 6e33
0000b40 0592 d2e0 d651 166c 4553 f127 63d0 5a9c
0000b50 ff99 2b23 6b75 9371 0134 c9d6 d84d fd37
0000b60 fdcd fecc 7d16 74c2 65d6 24f3 bdf9 09eb
0000b70 88dd 00d2 6398 159a d849 0753 7906 e312
0000b80 5fb3 58e5 bda7 a76e a7e0 56f1 c3c9 c72a
0000b90 7b9d 754b 2d62 da5e d5bb 4558 64b5 fae0
0000ba0 a7ee 479b c291 34ad b6dc 0bbc ebc0 27a8
0000bb0 d3e4 13c1 eb76 060f 4b71 8cc8 8f23 7341
0000bc0 4476 c83e d95d e60c a971 6e76 4c19 9304
0000bd0 2f11 6128 ec5c 7fe1 3013 e27e 445f eee6
0000be0 d657 d35c 21ec 5053 ef2b de4e 2149 98f4
0000bf0 4374 dd6c b42a 0b15 15a4 10ec d39b 15b4
0000c00 fcd8 8202 1a8b 0724 470a cb61 8d62 a91d
0000c10 b886 4537 2016 0cc9 664b 5e22 4cf2 0a25
0000c20 0785 109a 4eb1 a586 043b b7e7 8f82 3812
0000c30 b934 4ab8 84e3 bc58 e086 48e0 5ec4 934e
0000c40 6c40 4dcd 99a8 d57f 5fc8 8fcb b7cd 6ce4
0000c50 a354 a909 c740 a9e1 d04e 02c8 56d0 558a
0000c60 49bb 71d6 0f9d 9078 b50a e10a 4d5b 45db
0000c70 a609 1cdc ff2f a9aa 87b1 19c7 0d33 bb1b
0000c80 d760 747d 670a cf94 ab90 92f4 ba48 4850
0000c90 76fc cc43 4599 4760 2101 d4ce 0417 2d0e
0000ca0 d546 603b 9268 c86a 6fd4 90b4 af50 67cb
0000cb0 7aef 8807 6fc3 ef1b d4a6 e0fa 0d3b ea26
0000cc0 d7c5 7a1e 35bb 7b4b 91ed 558f e859 f40a
0000cd0 ef8c 47f3 53db 622c 71db bfa2 2e94 2faf
0000ce0 9a11 d286 c0e4 a3d0 2324 6a2f be0e 794d
0000cf0 dc7e a661 4d9b 4913 d1bf 0bd9 fcd0 7727
0000d00 d398 bd08 6f2e fe12 b23a c692 19f0 c2a0
0000d10 8d3a 2e0c 5487 9ff6 22f3 0ca7 5fb7 8b98
0000d20 8a2b 3848 eb55 3a42 ca05 8a96 22e4 40c3
0000d30 e2f4 4b69 6151 7ca4 0d4c 4957 483b 5967
0000d40 a307 50e9 c613 8997 4881 eca3 f57f ec31
0000d50 3c0e b891 48f0 5caa de85 9c02 9c73 69cc
0000d60 cc66 d8e0 3941 b00c 5c50 be6e 3a32 9f10
0000d70 f59c 546f c73a 5e39 7543 c5a9 976d 39cd
0000d80 22ed 29ec 57cb 8dd6 82d4 55f2 83a6 25b9
0000d90 b639 2d5c 4c38 fcf4 8bbf cea9 b062 a9d7
0000da0 66b7 83e2 6add dde5 bbb4 9050 7d3a 3672
0000db0 229f c4dc dcf1 1c56 0d36 7fc7 b420 ab0f
0000dc0 115e 314b cb61 25d8 1975 86a0 56ff 4be8
0000dd0 b21d 27c5 6701 5a8a e8f0 599d 6343 e17d
0000de0 dc9e 3744 9577 f991 882a 276f 85fc d0d6
0000df0 cbb9 2a9e 9756 c197 31e8 f38d 8022 8332
0000e00 e42d 6c17 5e29 0b10 3602 bc22 50c9 89ee
0000e10 8567 5bd8 ed35 6d98 3563 e1a7 4d2c d0df
0000e20 d514 27e2 e37a f8fc e53c 6354 9b0e 99c1
0000e30 b08b 73f2 29c5 2fe6 f33a c015 6584 51d9
0000e40 7fd8 5212 3e62 afb5 e00e 0c63 a349 9d8f
0000e50 d6e4 66d0 5d44 57b7 b665 746a ce93 acf7
0000e60 92a1 b078 e658 eaab f79b cd31 c2b1 f748
0000e70 8573 a78b dcf9 f271 7c86 782e 0785 85c4
0000e80 805e d527 10a5 266f b3e9 d46c 1e7c 71f2
0000e90 eb3b 00be 1c3f db32 9155 053e 87df 37a7
0000ea0 0de2 60f8 8249 cabd 4034 ef33 162c 2b7c
0000eb0 8410 2d5f ddd9 3a72 ffa4 e16e 0243 7a71
0000ec0 5c12 3efe 3205 09e8 d7b9 ff29 2af3 49fe
0000ed0 b6df fdbf ced0 8021 df2b ca9d d875 d321
0000ee0 5f72 bdc4 2731 f719 6e29 9704 04ea 7b17
0000ef0 e464 183f e744 ca80 9366 584c c0b0 ebb6
0000f00 9d72 63c6 e220 318d 889e 5f96 65c7 81e8
0000f10 5526 f3f1 bd20 537e ee0c 257b 0d86 d5f0
0000f20 7a00 35e6 5d12 2fc1 3500 507b 62fc cb07
0000f30 a2ea deaf 4b23 28d1 0d38 67c5 73b7 2a22
0000f40 e887 82b1 3cda 0d5d 006f e6ad 533d 3bb5
0000f50 baa3 c4b9 0daf f27d 5e7c 0019 f577 ed25
0000f60 6ef4 12f7 ca6b 1d7d ca89 9673 d3f2 cf87
0000f70 d5a1 a52c cb64 f042 1f96 5dca b0a1 9b39
0000f80 433e fc6f 85b6 5ea7 2aca c387 fbd4 02b7
0000f90 d2b7 d317 0e32 89ce 5fe6 8c4c 85da 0582
0000fa0 6e76 c66a 60fc 8edc 0276 88a7 9fea 7af4
0000fb0 fdcf 5e26 88fb ab66 45fc 2a58 4d04 53b2
0000fc0 0bff 3c9d e424 bfad f4a6 0f61 2bc1 dbf6
0000fd0 cd57 2740 b7b1 e3a9 bc1e 05ee 4520 022c
0000fe0 22bc d1b5 5b91 6730 191d 8d4e f310 1d80
0000ff0 cad1 8af0 21f1 0ed4 db27 40ed 6514 3a95
0001000 89e5 8b31 1c28 a439 6aa3 9f73 1aa6 1031
0001010 ce10 ae66 d61f 244a 3083 9cc7 61f8 2dae
0001020 be8d e9b2 f4bb d959 b421 be8f 20c0 672a
0001030 6663 b312 93ec 05ad 0ed2 92a5 0248 4acf
0001040 2149 3e82 e478 3c83 36b8 c707 ddfa e5d3
0001050 b17a c604 9951 cb9b d22f 7aac 4232 3313
0001060 c74f 51c4 6204 6a9d 9b12 f330 4485 3a5f
0001070 6c85 4134 dd19 93a9 950a 54a7 5dbf cbd0
0001080 423c dc9f 06c0 555c 1504 f3f9 bdb0 659b
0001090 b0bf 5e8f 61cb abe7 a410 2d1f 9fbe f1c5
00010a0 b69a e1bd 6b86 7153 083f ff29 35d8 7af0
00010b0 b9c5 39aa bbbe c2de 278c 1a3a b68c 4a2c
00010c0 0866 2a95 c765 18b1 2b78 f1b9 9f18 fc8b
00010d0 97ce e4ef 6112 282e 5b41 40c8 d24e d26c
00010e0 b9d4 530c 69b7 1d6f 441f ef79 763a 5325
00010f0 4217 c5b6 ed58 5000 f62c 781b ae2c 7a28
0001100 07b7 eb91 14af 8a6b 3242 0c59 5b4f 4465
0001110 5b87 cee8 dba7 ee8a 2229 00c3 bb20 8b9c
0001120 757f 5151 531d 02b4 f480 5a0a 5cd6 5c19
0001130 41d0 ede0 8cfa 6346 a905 3862 eb5a cab7
0001140 4c7d b9bc 288a 5651 24b5 552d 64c3 af51
0001150 5056 ac7a 43da 4aed da1a b224 f370 ad66
0001160 e3cc 2cd6 129c 1567 4122 1075 6c92 f995
0001170 c596 1994 b036 b05a fce3 013f ba61 9b48
0001180 c6af c3c2 c7be 03d5 e69b 1de7 3b25 59b0
0001190 ffca 192b 4afc 8692 176a e0e5 57f9 81c0
00011a0 8e6f 816f 8acb 6bcf 1b0c 3758 3493 f17a
00011b0 9753 7c02 fdea 4d7c 41b1 4f3b b841 d303
00011c0 01f7 d31b ff38 eb37 328d 3f0b a9cf 362b
00011d0 c30d 7dfa f3de 34f2 dde3 f32a b985 c608
00011e0 63ab f850 c4c3 9026 cb1f bf61 0eb3 712a
00011f0 1acd f76f 72b5 698d cf27 72be b82c e723
0001200 e102 d538 35ec 554b 4f47 9fd2 6a77 9d50
0001210 546f d370 4575 cb5e f573 2949 24a8 262d
0001220 8c36 ac3b 025e 5f8e c222 aade fed1 cdf0
0001230 6582 1c13 1293 b016 b90f 9082 fc71 0eb0
0001240 3c9a 3e90 b5e8 a51d 6617 275f 0daf a08d
0001250 c6bc ba00 703e 2616 d6f5 8e19 58bb 740f
0001260 930a 9ccb 17a2 2e5a e7ad 0b8d 0a95 f5c3
0001270 d4bc 6ee5 94a4 7d4c e2f7 1044 aeef 78db
0001280 ffe1 8ccf 6810 57eb 8fda b381 974d 98eb
0001290 56c6 310d 80da 713e 8d5b 4a22 4839 9feb
00012a0 3378 3295 4a83 920c 8557 afdf 7dda 3feb
00012b0 edd8 0e8d a0fb 7681 552a 59fb 8aff 3bc9
00012c0 4aa1 2b52 d04c ad31 31b9 0944 4e27 c521
00012d0 d2d1 6d04 2a31 5c53 0041 5c77 297f 02a5
00012e0 e029 ea00 9fac 48e5 1601 ed84 e677 05c5
00012f0 f5fa b0ce b952 9934 88bd 890d f19c 672d
0001300 6a4e e3bb aba1 8c0d debc 772d 6551 140e
0001310 bcd8 346e 936b e67f 739e 86b2 7da7 e933
0001320 3bfc 85f2 3ed7 0d89 40d5 57c2 549d 4622
0001330 57d7 0301 8125 2501 29a7 0c6b 59e5 82d8
0001340 a14e 4011 8aea 9ff4 dcc3 3c9c 669c 2f5b
0001350 1379 d3eb 2cfe d218 e8c7 c9b8 4530 d079
0001360 7f27 86bd 2723 90d6 0e0d b4ad 51ae 2dad
0001370 15a8 6a98 88ae ee9e c337 81ad 3398 2473
0001380 e2f2 b58e c461 89ac 9832 8d1b b716 9164
0001390 6b8d 83f4 c9ad 10bb 52ad 4043 14e6 726f
00013a0 30a7 e811 f2c2 e1ab b103 f7f2 b9b1 f304
00013b0 5128 1656 c3f3 b55b c93a 2cc9 dd64 55d9
00013c0 2eec 90e9 88fd 9a66 1998 683f 886f 3bce
00013d0 de16 14fd 6a28 f395 467c da1c 2045 ddd5
00013e0 e3b7 a352 d76d 72ee b1e2 66c5 add6 6b26
00013f0 c8f4 dc4e 9d44 85f3 1a02 68a0 6ce0 27c4
0001400 d631 88c3 69af 6eb8 97d3 e13c 2487 e72e
0001410 7244 40b7 2005 426b 5bb5 f781 719f f54b
0001420 ea80 4282 9e0e e31c aec1 4a5b f090 c63d
0001430 286f cab5 4da9 1746 a1eb f4ce 238b bcb5
0001440 cab6 4f50 1629 a54d 4396 59b4 236e 3d93
0001450 8539 a6ee 7869 4999 ef59 0ae7 6cce c221
0001460 00b0 2d68 2aca ea60 fe2a aa84 5a08 41a8
0001470 d92a c48a 271f 0d53 707f a163 9884 1685
0001480 15f3 2047 b168 3405 dcd2 3411 bd00 ac60
0001490 2dc1 000a 3d61 fb40 fa78 8aa1 6a76 7a58
00014a0 734c 352a e316 2baa 2a9f 1f72 b233 eaa5
00014b0 4b2c 24a6 f74f 7c19 9b70 81ad 5d3e d45b
00014c0 1379 92fd d385 9e01 d135 aa72 6543 f7fd
00014d0 3abb 5984 82f2 00cf 2db3 49ab 91ee dffd
00014e0 d60b 2b6c 13bb a602 6d42 db91 b196 09b8
00014f0 0453 6ead effc a9a6 c5e1 6b8b e1b8 9df0
0001500 71ae 93de 2932 d9e4 36f8 e667 866f ab92
0001510 e2a1 f989 7873 5e51 d24c af32 3ddf 524b
0001520 432d 28ce 0ce3 3d4c e4ae 5d2d 7880 1fdf
0001530 7ee6 1328 6f25 9c3a 7b28 473e 7091 6f67
0001540 e5ef 4a9b 9edb 6908 55af 8964 05b9 a012
0001550 4ddc d1a7 ef90 1034 c0d0 53fc 3774 e8d9
0001560 02d0 70ad 589c e93d 8716 9e0e 8f4c 6b01
0001570 d4e6 5ccf 6384 a875 8358 4e45 3d6d 385e
0001580 8cd9 47f6 1059 c4e8 1962 bf0c 4a26 bbdd
0001590 cd85 15ba 83cd 0e42 c8c0 c2de c45d de37
00015a0 3fcc dfb3 97ac f429 458d d985 e080 9cbf
00015b0 96f0 bd97 3a8a f828 12c1 7a12 4e4e f644
00015c0 94dc b765 ea96 3787 2ba6 ce63 4143 ccab
00015d0 3749 7d46 38f9 5f0e 347b ed37 e6ce dc90
00015e0 481b 8d31 27a1 3b8a 489d 717e 7760 f176
00015f0 7086 bd06 4f3d 2eb4 a386 5321 a5c0 79a6
0001600 dd0d af24 6de1 56a3 a4e0 9f38 bcfd 73ba
0001610 424a 7c34 de0b db61 d0a1 2ac7 002b 0cb8
0001620 2a52 c73b 4f21 c69c c6da 378b f61a 0f21
0001630 08c9 5df4 2c54 c46a 7b8b 6d95 b2a5 3663
0001640 c343 46e5 92b2 1787 4052 2760 ef1b 9ef5
0001650 78cb 0a54 8e6b 82f0 1eb3 bb54 f7c8 a22b
0001660 8e79 547a 73f9 91e1 e025 81d5 65bf 3e37
0001670 e0a6 3b1a 378f a69e 5cc3 f866 7b7c f7bd
0001680 46c5 39fe 2f3e c9fe 2ce2 39cd b591 fd97
0001690 5f5f 14de 2e2a 7e2a 78c4 13af a8dd 47ea
00016a0 9030 3849 d255 6eab 6d16 7576 6485 4322
00016b0 705a 6170 53fb c665 47fa 7254 6b8c 9b19
00016c0 f0b6 6e07 2f8e 8d0f dc9a b66f 21b5 a1bb
00016d0 99af 06fd 49fc 1b62 ef3f 90f9 fb7e a189
00016e0 5571 ec7d 3d71 9e46 d04b 0e71 4ce4 46f8
00016f0 620b 5363 1588 4b53 51bb b1f8 c0a7 57c8
0001700 7688 ec8d eaaa 92f4 3c68 e09b c04c 68ce
0001710 e28f 310b cc25 8346 8452 810f 5c39 2c60
0001720 babe 9358 17e5 aead 69c9 62fd 4546 7c1a
0001730 84ee 8331 3a87 73f8 dc0b b94a f7c6 61b2
0001740 3b42 ae47 ae87 edb0 275e 1d75 d8f3 5db1
0001750 bfbd d543 7eaf 3d1c ff54 b983 52ad a88f
0001760 57cd 146b 5c09 0c16 1f5b 29f1 7c51 5996
0001770 46b3 ba49 9d2b 5511 4e2f f585 fdd6 2b99
0001780 5cff 1420 24ca 784b 701f 59ca 9cda e8de
0001790 dd4f 061d a13e 07b1 5381 0158 1337 f621
00017a0 c99d 4462 cf08 b0ad c089 e4b4 d311 e3bf
00017b0 d62c a578 fa66 1c71 e210 f0a1 37f4 3d4a
00017c0 1ae5 1bd1 173a d6df bfad 198b 6c0b 49d1
00017d0 2ae8 2397 802b 4548 f57a 7c6d 31c3 7a7d
00017e0 6e27 0971 be69 3ca0 25b7 ac7f 0eba bcb8
00017f0 5f7e c51e 00e3 bcdb 8ab6 011c d928 31c7
0001800 ecd9 3433 bfe4 2c54 19bf 0b8e face 2dcb
0001810 31a8 ae66 9f27 31de 7a24 5dae 9528 9326
0001820 eeed be25 bc1e e378 0e99 de89 b7d2 50fd
0001830 18d9 3f10 9335 b3bc 1385 039e 4a7b 2c59
0001840 1c4c 565f 6c7b 1095 9038 52f7 17d1 078c
0001850 c36c b0ae 715c cca1 6f2b 1858 b838 b325
0001860 51c1 b7f5 133e 92d5 db05 992c 20f0 9edb
0001870 7ea4 64eb f756 c2dc f67d 55c6 53a7 a0ea
0001880 f5c0 f38c bae8 774f 1a4c 2f7f 65e9 9b8b
0001890 402d b461 d0e3 0a26 ae21 3d1f b1d7 c757
00018a0 b3fa 352c bbfa fe64 d80f cad5 1e38 ddeb
00018b0 83cc 1eef 8ec8 094d 87a9 ef51 2cd5 1750
00018c0 a209 8fd9 c341 b6c0 454b b436 d6a3 a39c
00018d0 0b3b d612 e829 dbee ecab 6bad e9fd 8871
00018e0 1286 6124 64a0 cdc2 5c68 dcf3 a02b 3cb2
00018f0 97a8 dfc9 5493 4c98 6301 4608 6be1 4dd4
0001900 53a9 00db cbe4 a9d4 8b74 7f1f 2347 3e84
