0000000 f4de 032b 7789 3ea7 f72f ac74 7a9c 452b
0000660 ec3e 6286 e4dd ed20 0e30 ea74 c27c 0318
0000670 aa65 b49c 574c de0c 35ca ed9f a795 20f1
0000680 48d1 960b 9336 4f6e da94 0bf7 388a 6d63
0000690 a186 8174 3e7f 5cf2 e958 d530 7f2a f250
00006a0 8841 60b7 2078 ee83 1388 513c d607 0dcc
00006b0 c246 187c d7ac 1790 62bc 8cba ffc7 cb3a
00006c0 1f59 978b 68ec ef46 f3a6 e463 0568 75e2
00006d0 a142 45cd f279 1492 950b b23f 3939 7810
00006e0 228c f901 4d1a cda9 8777 60b4 7519 29a4
00006f0 58e7 b2c0 d0f9 1f89 78f7 d324 4083 9f58
0000700 80c6 be39 7a7d 2790 1285 b99b 4db8 98ad
0000710 2db8 6f4e a773 21ed 9ed7 a8af 6452 e7c3
0000720 e9cf ca53 a29e 0f2c b635 529e ee29 3c09
0000730 50fb ed8e 4dc8 7417 1c34 cf6b 9e84 19f4
0000740 f9ee 002c 91bc 4295 287a 3908 cbe4 c959
0000750 ef54 1af4 9b87 d16b 683b 5563 989d 5e4b
0000760 73f0 7802 3139 0a86 b130 d594 8666 ff0d
0000770 45ee 70e1 e5ce 0c17 ef33 2c1f 69a4 ce28
0000780 1d50 f1c9 0aab 9abb 0db7 db08 4a3d f833
0000790 f8db 3340 0581 ee0f ec3c cfe3 4ae1 7413
00007a0 c0be d854 6715 385e e07b a572 71de b0e0
00007b0 c8bd a0dd 3f20 3cee 2391 f185 1286 9b46
00007c0 6c6e 8d4d a69d b897 f7f9 35bb cf31 245d
00007d0 18e1 3786 3c41 aea1 9316 f610 d130 dc76
00007e0 1639 f50e ad81 1c00 f1b9 a4b7 55b8 77d8
00007f0 6ad3 73f7 a8fe e645 a6fb 223c 9264 c230
0000800 5422 7274 dd8e 1d47 8752 7b2d 6eae 192f
0000810 fc39 2652 0fa1 cf10 d95b 485e 3c3c 9525
0000820 ec23 d248 2b1e 081b 3dd4 6771 6134 beb1
0000830 0fba 50b5 fb2d a405 48d0 6e87 4c7e 66d1
0000840 a29e d59e 5513 2307 f3f7 0d3d f8a0 0925
0000850 95a5 5e6e 2a3e 7636 698b 8635 14d8 9e8d
0000860 a524 77f9 e45f 5e94 7152 9aae b8f1 43a0
0000870 b2fe f793 fd22 decd 365b bb43 cc14 3e03
0000880 4106 4131 b239 81ad 4d29 20f5 5c81 d760
0000890 f607 e8ca 22a8 5264 f9ac cb06 93eb bbc3
00008a0 829b 6f49 db5f aa00 7223 9139 4857 e988
00008b0 d4f1 d464 0754 8c5c c803 684a feed f80c
00008c0 45b2 25b6 3206 be3e e468 9cb3 53b3 b959
00008d0 c66d cc03 581e 78a1 e8b1 3010 9077 91fc
00008e0 79b0 9a05 3ca3 cb80 c280 d866 e917 d95d
00008f0 44b7 355c 725e c907 fca8 e99a f2e5 ae8e
0000900 e469 9aa4 429e 3b76 18a8 8507 25fa 3f2f
0000910 2e64 d9ad 5679 c841 010e 0b17 f84c f099
0000920 6ca6 f50a 6ac1 7c5f 7867 a1a9 474c d7c2
0000930 7011 5800 2a4b d0a6 c8d8 12cf 5963 8835
0000940 06b7 187c 4105 1e71 f855 dcf8 db6e b359
0000950 6150 1aac 1521 1457 d0e9 1ba7 fed6 d0a9
0000960 7aec b60a 24d6 5de2 727b c4bc 256b 5d1a
0000970 6c46 840f fcdd c371 3c75 102e 7c03 f408
0000980 4d57 733a 364e a592 0b36 0d0a 9295 1aeb
0000990 1db9 9190 b8bd 3150 fad4 963d c0c4 332b
00009a0 dd3c 34b0 98a2 0d0b 3ff4 bc00 11c2 90d0
00009b0 fbd5 175f d479 c497 0ccb 711b c596 ef0c
00009c0 5cdf 9688 2e7e cd54 883c 1d7c ad83 321e
00009d0 0522 9057 0ad1 4436 aad6 bad7 1637 1252
00009e0 b137 fccc c245 4b0f f987 ff23 fe68 31cb
00009f0 dfb2 e19a 309c c263 9366 c63f a0a2 82b4
0000a00 9e44 7ddf 7ed8 98fb 2fe8 bc69 eb7f dfcf
0000a10 bbc0 aa83 899d d8ac 8ead 9a9a b524 8eec
0000a20 a2fa 6b1a a9b4 b6e1 99b5 4e8e 0707 ca4e
0000a30 60dd d2f8 24ed 5f7e 0c84 ccc1 c065 b9ac
0000a40 570b e9a6 19ec 07c1 307e 220f d5c2 6344
0000a50 4549 b08a 7c56 f7f1 ec6e ec9e eb20 40cb
0000a60 761d ff0a 1a7c 0980 5e54 1a23 977f 68cd
0000a70 947c af4a ea1e a9ac b3e7 6b27 312c 3c0e
0000a80 3a12 7374 582d d83b 4c12 217d afa4 83d4
0000a90 195a 147a 5eb7 2744 9f68 a5ec 7177 18fc
0000aa0 8a54 33c6 5f7e 22b7 32cd 8e0e c25b 1773
0000ab0 7aaa c84e 6c6d 0ee4 5367 a57b 4890 083c
0000ac0 51cc 4f27 f585 a102 456f d161 8b66 ed97
0000ad0 424a 71b0 33f5 260e 3ee3 b322 e53c f3cc
0000ae0 8ee0 3cae eee4 f8ad 32b1 16b4 7212 fe6d
0000af0 8b3b c152 b4ee 8503 99f3 203d 20da 0eb1
0000b00 e510 ed65 b8b7 1739 086f 8a1a 2074 ecbf
0000b10 e638 62b3 ea6e 4eed 26a0 5f22 46a1 8b03
0000b20 e7c7 546d 94d8 5687 badd 3417 ab83 6c3e
0000b30 a39d bce6 55f5 20a7 3f76 9dad d50b 6726
0000b40 1d8e 6975 f29d aab4 e191 83c8 0734 7dde
0000b50 c7cb 7890 f3ff 6a41 038d aa04 6d98 88ca
0000b60 8365 3f77 79c9 465d a8e8 d319 86bb ae02
0000b70 3378 8d6b bbc9 86f2 447f 0151 5c87 370c
0000b80 5fa0 703d e9a6 5aea 3d0d 2708 88bb 82a9
0000b90 4cd1 bfca 19f7 4946 f3aa 2f52 981f 2be9
0000ba0 16aa 375e a0d2 049c 6d0e 6736 f36c e2b9
0000bb0 e38e e2d9 5b0c 79db 4803 549c 8130 6ab4
0000bc0 7685 289a b240 6efe c30c eeab a2cb 75b5
0000bd0 c244 a2b1 cfad 00bd 1317 c867 89b4 88a9
0000be0 0254 d2c6 8c0c 9841 4f35 63da 239d 4154
0000bf0 6bf3 367c 1361 68ac a97d aa93 a776 0108
0000c00 161a 234d cff1 7d04 67a7 e5d6 e2e6 d032
0000c10 9552 dfb0 86cf 99ec cb0f 7bf6 89b5 5705
0000c20 a749 237d d97e 40fd 5da8 8551 e36c 4690
0000c30 5bab 0fe4 9854 2787 73b1 dc5a c13a efc0
0000c40 542e b671 ea89 2469 3254 1465 8af4 9e47
0000c50 f7f7 a2fa daa7 ee31 1da2 bb91 6da6 7d62
0000c60 fad5 dc36 93d4 54ea b6cd c7aa 3e51 3eb2
0000c70 8225 e821 2289 6b21 3b36 0e1e 66c7 6488
0000c80 63a9 0cb3 2b17 4a72 fc28 6e57 1de1 6693
0000c90 4784 7ded 7720 282f 2893 0cd3 4721 b8e5
0000ca0 e768 9c95 3d9a e136 a83c 3ac6 dd14 38ac
0000cb0 a71c 4b2d 21f9 85f0 f8df acb7 7e4b d89b
0000cc0 5924 dcfe a4a8 b534 22ef c43d d15b c47f
0000cd0 2e46 c3f0 28c8 1ec1 672a 461a 5546 0a1d
0000ce0 b3a4 ea2e cb84 9e85 ef86 44cb 5a34 03b7
0000cf0 add3 9d8f 69e1 904b d318 61fb 2bca f247
0000d00 398b d62b 79cf 148c 0ffc dc7c 46da 0471
0000d10 6f82 3546 c77e fb2a 9f59 6cee c393 c89e
0000d20 3977 380f e936 b838 8e64 c6f0 4401 eb86
0000d30 7549 ea82 ef5d d55f dac1 33f5 621e 6333
0000d40 9a01 b2b4 5426 7041 b215 1810 97f8 db53
0000d50 f58e af40 c3d0 2e40 7bc0 9b0f 4b4e 8d29
0000d60 9e44 d77e c762 f8fd 3ef6 f1fe 118e 6531
0000d70 be35 f698 a001 6eea c785 bde3 fb99 e83d
0000d80 2b6f aa35 b368 d3b4 9e3d 5e81 dbc0 b0fb
0000d90 2b09 9f64 c304 d96d 81f4 7bb2 2571 9080
0000da0 daae d60f 3c32 5ac6 933d f803 d5db 0c6b
0000db0 356e d01b 6467 7027 fb40 0c49 3431 e0ee
0000dc0 b2aa 3d83 1981 00f3 c775 67aa 7344 19c9
0000dd0 fbe6 fbd7 a37f b051 ae8a ccd5 7ea1 d7ec
0000de0 2ecb 8a16 cdd2 5e93 14a1 d9a5 63f0 cd5e
0000df0 4c8d c615 e491 7e7e 2e1f 27db 7c56 b759
0000e00 c820 9e5d 425a bc35 ce2f 9c87 e135 7473
0000e10 2abd 14fb 1250 a221 0e5f 28b0 351f 1cb1
0000e20 50fc 4923 1357 c645 4ed2 cda5 54d3 79a9
0000e30 008e ef98 a8be 4c32 52aa a56c 60fd 3466
0000e40 e7d3 a221 9e85 df36 d4aa 91e6 d4a8 d638
0000e50 25af 12c5 fda8 4b64 98a7 5a74 3597 2c82
0000e60 204e 5a68 5539 571f 4aff 358f 69a9 aac8
0000e70 a352 0abe b55b f8fc c36e 504c 601d 2b5f
0000e80 fde6 164f 335f 7b68 6bcd 6973 3c1a 7ffc
0000e90 b6d0 1ac4 dc08 0779 6e36 328a 5e2e 0b01
0000ea0 c4f1 bdde 3026 35f6 0036 948c 97d7 988e
0000eb0 2afd ff41 db7e e809 8c3a 38ee fcf0 28fb
0000ec0 0a45 ed93 c695 a671 80b1 6543 5632 93f9
0000ed0 bc80 0d99 ca85 41e1 f262 02d2 60cc c89d
0000ee0 f201 283a 43d5 3652 730e 059e 9b5a aa92
0000ef0 7678 223b 2453 28e0 c2d9 7d8e 5539 ebce
0000f00 e150 52bf ee05 fec5 46b6 2e9e fdea 651e
0000f10 cf2e d047 ee8f 617a 1255 783c 0dc0 1ce9
0000f20 a509 e4e5 efa6 110d 1959 d40e ded8 fa8c
0000f30 7af5 823d 12d2 31e9 701d 28e4 4916 877f
0000f40 ba01 a656 7616 991f 35e1 a8a8 eb33 4f46
0000f50 c732 41b0 f674 3248 c9e9 0b57 a992 eab2
0000f60 1ff5 fcde 1649 6074 c1ba 2301 d3a4 db88
0000f70 874c 9539 8e5f 0003 c4f3 4024 630a 8cd3
0000f80 fab0 6278 6527 c4b7 e654 fdb1 32df 0361
0000f90 bf1c c847 154c 1c98 9b97 a0ed bc5f 1e22
0000fa0 6125 c32f 943b e55d efad 8698 924b 0c90
0000fb0 e02b d5a3 dc46 7aa8 f486 5dc0 03fb ec1d
0000fc0 4714 3003 3ebc 6809 d2ad 85ec d320 41a5
0000fd0 839b a08e e219 1bc9 3039 5916 76bf f713
0000fe0 2eef 7cdd 8ca4 aff0 7296 bc75 439a 1e8c
0000ff0 1f2a 09a8 d20a 2c16 9539 2a19 191c 404d
0001000 6fa5 911e 357d 44b0 39be a654 8831 a7b1
0001010 6c09 ba4f cd32 1f39 84bd c0be 5130 4108
0001020 8426 6666 f79f 8893 e8f6 29dd 8307 df3b
0001030 4d23 4471 08d8 ec7f 1103 db2f 0615 8045
0001040 b35d 06b8 b590 fe13 a154 05e6 e096 b07a
0001050 b9f2 3c79 9ce1 12e2 67b6 2e66 587a 2dba
0001060 dee4 d9d0 db0b 1c35 9f3f efab 682d dd54
0001070 2c3c 79dd 01fa 2c42 c3fc 1256 164b 85d6
0001080 79a7 81e1 b1f5 e8bd e98d fafe 2e86 0ac5
0001090 22a7 4c11 11ed d74a 3811 6140 ea31 4a0a
00010a0 c9f1 1e61 c524 a39c 28d7 1904 d169 722d
00010b0 0b0b b8db d51a e675 4d2d 93d7 8604 9dee
00010c0 9f49 fc72 df50 e6ea 392e 7bdf 9530 dce6
00010d0 cbc4 7304 719a 8595 8149 6dcf 5e51 97c4
00010e0 e3b8 6c5f 6d1d fbcc 3ff5 0e71 63e3 310e
00010f0 0349 aae1 f8bf 524c 34d9 d140 b83b 9b3c
0001100 0bc0 3654 9c24 c250 d615 6d03 4dda 061d
0001110 6c33 57dd 1908 e3a1 6e54 75d0 2846 ffca
0001120 b4b3 e574 a349 f668 b18e 3ae2 a281 76ee
0001130 4de7 492d 6ef2 612f 9764 be40 f043 2146
0001140 01f8 6e42 ca30 159a d758 8495 3f54 88f6
0001150 26f9 a4d8 2820 e357 db33 99a2 b159 d299
0001160 89f8 5842 da6f a468 660e 1ae0 6701 fe7f
0001170 9717 862e 166c f669 4d0f 748f 27b7 bf24
0001180 2587 b13f fc95 f96a 6d48 ab46 6d86 140e
0001190 1220 f1b5 9019 e39b 2de3 5fff 865a 19a9
00011a0 e240 90e2 71c4 e052 a6b1 e382 73e0 45e2
00011b0 7be2 4d10 777a e1a9 dd60 dd65 28e6 08f8
00011c0 0965 f64c c4bf cbb6 1c6e ffda d31c 5354
00011d0 14ed 20fc ff1d 3bc7 79a7 31d6 547f 689b
00011e0 635c bb67 3920 376a f134 2c34 6aa3 f695
00011f0 614e feb3 cc9f b1b8 bc59 4df6 baf9 e052
0001200 3375 c626 06c5 46ed 177c 07bf cbc2 34d6
0001210 9147 2cbc 64f8 64d8 a6f0 46ff 9083 661f
0001220 2a2e ecd4 6bd4 c1a0 9efc 1c27 5876 42b4
0001230 efa2 8b8d 1509 2e30 021f 82f8 f588 ccea
0001240 6ca0 6f48 309f 024e b595 f4aa ec99 59f9
0001250 1c15 a4b4 0c21 f692 9178 a48a 73b3 d08b
0001260 1fb0 a02e 3093 a2b8 53c6 1e8c 940b 11cf
0001270 4abf 7789 7fac d17b 52f5 1f8f 7346 995a
0001280 d2cf a573 dfeb 7cb6 e23b 6f2e a78e 26a4
0001290 bcb6 7e2b 6ced 8b98 6656 e8e3 9523 2be2
00012a0 c17c 84ce 4849 ec69 c2dd aa51 1058 198b
00012b0 49d1 42e6 393f 3e5a 3794 4960 519a 8c5d
00012c0 89cf c38b 28c8 140b 1510 ecb7 0674 22fb
00012d0 b0e4 bde6 5b36 4c17 cfca 2104 4480 b848
00012e0 237f b63c 6f92 20a1 3a41 2d6f d98f d77a
00012f0 4c13 24f0 78c0 eca2 5d36 2a98 ac1f 35d7
0001300 c40f 2605 baaf 0cdd 7507 21aa efef bf26
0001310 76c3 642a 206a fbe0 0c0f 4a6a a2b7 c837
0001320 f394 32b5 beb9 7bff 4ea4 75a5 7b02 77a5
0001330 2579 12da fb81 25f7 b78c 750e 8344 04c7
0001340 3972 67f8 4c90 f353 1378 3cd6 d568 0e5d
0001350 8edf 4682 7344 3851 e21d 1b6a 4904 98e2
0001360 08f4 6f86 1378 10f9 6aeb 2f59 99d3 c031
0001370 91c1 95a9 cf4a 357f 7dc5 cde3 0e9c cc6f
0001380 613f ee8b 823d c73f b28a 256c a213 81a7
0001390 6840 920d 1dc6 9e54 4304 625b 7842 066f
00013a0 5e27 731c 10db e0d4 2779 0b0f 9ed3 2c48
00013b0 ec34 c793 814f be61 9af8 d6b1 c09d b3a6
00013c0 1308 978d a69b 3010 1df0 99eb fd34 0932
00013d0 f2a0 e1d7 d3cc 06fa 0133 0b96 616d e260
00013e0 9e07 a7dc bf4f 2867 4fcd fe21 6da6 9a2e
00013f0 2db8 6bb2 c39f 3797 d852 118a dc85 98e0
0001400 43a0 d255 ee4e dd97 4c89 4c15 aeed c532
0001410 abfb 5d36 beab 055f d6d5 cd27 8ece 0ede
0001420 8787 7909 d698 aa41 490d 8359 d317 9925
0001430 e9c6 2580 6204 2e14 1211 aa39 88c0 77cc
0001440 a572 4711 5bf2 e484 c4f0 3c88 55bf 9cad
0001450 4588 9063 40e9 ce44 e2cf 518e 21aa faf7
0001460 eeba b75d 652a 5973 16d9 c40b a264 7541
0001470 7b4d 5c76 739a f807 b1a8 2499 f4cd e660
0001480 61a6 601e ef96 1a8b 6038 794e 6f70 73eb
0001490 7a29 8d4e be25 b2eb fbcd 83e4 9720 5a6c
00014a0 590b 4183 d5ed 1daa acd9 46a5 a200 c77e
00014b0 3e60 128e c5ae 9703 5aac a3e9 ca1e 9082
00014c0 0e29 5a92 4910 76cd 1a48 cfba 4fba ad8a
00014d0 4bf8 ce6f e897 4eb6 1542 3848 9e30 043f
00014e0 9cd9 eec0 b3ed b7c3 be53 358a 5fd8 1db3
00014f0 59ad 4e8e e184 e0d2 d58e 36ed 9dfb a4a8
0001500 bb79 6dfc ce8c 5154 14fe 422e 76a8 a5df
0001510 91c5 6df1 ebe9 53db 4904 f3ac 8dde 59f9
0001520 7e32 da8b 9ec7 a67f db4c 927f 1288 9119
0001530 51bd 5244 08bf bbac 7542 3be9 81f0 3561
0001540 4f3b 1851 6077 14a2 c8b7 4fb6 e55e a0da
0001550 2626 fe82 61c4 3813 37f9 c7cb 8b67 405c
0001560 898b a891 a1b5 e8c3 0c7b c564 7c5c 5f2b
0001570 3e29 088f dde9 0e4d 74e8 7861 5819 2af7
0001580 e58c f985 a95a 1be6 d7e7 c041 7747 539a
0001590 9272 b375 9b0b 2c8b 47f4 65bf 0ef9 9ec9
00015a0 4936 da73 f6ef 5bb9 9a41 95de 56c5 883e
00015b0 b80b 8609 a006 583b 4e8d 2409 9b50 479d
00015c0 404a 117e 2986 a130 0889 dc9c f299 034e
00015d0 d4e9 623f 83d3 6c95 6dbd 89c3 58aa 1b55
00015e0 01c2 b799 4135 1fc1 0fa7 090a 5e64 018d
00015f0 db04 cae1 f169 d4e3 aca6 9e60 58dd 5c30
0001600 5882 c4a1 5fb1 20a6 646c 405a 4d76 90a8
0001610 a042 f2f1 a6e9 9b27 0bb2 1d69 0d0a 181e
0001620 cbb1 7a3a c0d7 f962 7f1a becc 9219 d6d3
0001630 04ba 4bd5 19da c27c d605 b614 4a89 df1b
0001640 746a 374e 9a90 1b98 ea46 16ba 56be 5f41
0001650 7f43 d74a 8fe9 e1d1 f6f4 b64e 1176 be48
0001660 5119 37f2 0973 1488 69fa b63f e6bc 3374
0001670 1929 2774 ab78 8f26 f266 127f 11af 7799
0001680 c8aa f760 d913 d9b7 a407 7a12 ae58 c7c6
0001690 7580 c2b1 29eb e136 093a 7882 cb91 fbaf
00016a0 ec40 637c e58c 4de3 97ed fcd2 a7c6 a3a1
00016b0 f3ea 66f8 fb81 caa0 3525 c881 c942 416c
00016c0 a536 07be 813a c763 7b85 8a21 b3b4 e2ea
00016d0 26c8 239e b369 aab2 9cde 7718 6696 51e3
00016e0 839a 7bdb 9c3b d4d0 cf79 5902 7d4e 9397
00016f0 0f5b 5947 f5a9 8139 7b56 f95a 3c61 87cc
0001700 abe3 7669 ed8a 16c8 597a bc0c 4032 dad1
0001710 5f72 8950 e8eb e0a5 6038 3ef0 7e92 62b3
0001720 bd2e 258a f401 3387 891b dcb1 bdda 253b
0001730 cacd 9d87 5ec0 ffea 094f e0e9 0d65 eafa
0001740 cecc c385 02d3 7c4c a41c 1be4 0bdd aa8c
0001750 1859 08b8 af25 3ab1 9176 8789 5055 4774
0001760 7796 128a 2455 ec21 fbf4 883f ecdc d878
0001770 4a3b ba71 212f 7c0f ec4c cf7f 53e3 82c7
0001780 3131 f8e7 02c4 e638 d15f 6775 56b7 2d2d
0001790 e208 5325 cd82 bdf0 09e8 bce4 0155 a3a8
00017a0 e93d 080e 30e4 21ef b3b5 c4f2 6c0c 7f4c
00017b0 9fac d16a aa8c 7553 4577 2fdb fb9f 6a87
00017c0 65a9 d9b8 ce23 8672 9f30 a6d2 62a0 5528
00017d0 c09a 5319 60fc c5de 2b1a abb5 5cbd b158
00017e0 2fbd 2c7d 3ab4 dbed b5b5 fb00 c3ba 6e95
00017f0 7cef c4f3 5584 e4e7 0a1c fb62 bf91 5f1a
0001800 1895 a810 63d4 6ab2 0a2c 6a32 cfdd eb03
0001810 4be2 bb32 672e 97e8 6b1a ea82 590d ca94
0001820 9077 8f0c a36c f0d2 1e8b afb0 242d abcb
0001830 7823 9265 b634 4804 4854 b3ab 5201 8ba3
0001840 ce4b 2695 a9ad 23d5 47a6 3ba5 f4cd 0e1a
0001850 e47c 958e 4389 4205 f18f ab2a 9b29 3193
0001860 c666 bf99 9dbf 7e84 c332 aada 41a9 0911
0001870 2afe 2589 e138 d937 377e 1fc9 d262 6300
0001880 593a e562 baa7 eac3 329e 15d3 04c1 e105
0001890 31ab 931f 1828 f351 b8ec 3447 b598 758f
00018a0 6427 8523 ad16 c88d 9b29 7902 0ad1 99aa
00018b0 9384 d7b4 b630 36d9 5e51 2b63 d2a3 3d4a
00018c0 d02e 14a1 1d7d ac90 802d 1efb 2280 6d4c
00018d0 9984 90cb 40b8 e754 4785 cb45 bfac 89a4
00018e0 9134 2f25 57fe 4ad6 d777 f3da 975d 6f4a
00018f0 7a6c d005 0e14 4146 fdc7 cff6 c047 ffab
0001900 ab38 31a6 8160 c952 090d 46a0 f112 a439
0001910 cd4d 4cf9 8c55 2a53 4fc0 a5c6 037e f2b5
0001920 fcdd 6e31 80d9 92ea 74f1 3109 f494 825c
0001930 7393 85a2 b776 8e02 49b6 772c a776 7c44
